icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;15;-;-;-;-;-;-;-;-;-;1;1;-;1;1;1;2;3;5
C01;Base of tongue;45;-;-;-;-;-;-;-;2;1;2;3;4;7;10;3;3;4;6
C02;Tongue;109;-;-;-;-;-;-;4;2;3;10;7;7;15;17;11;13;7;13
C03;Gum;40;-;-;-;-;-;-;-;-;-;1;1;2;1;5;10;7;3;10
C04;Floor of mouth;66;-;-;-;-;-;-;1;-;-;2;4;11;15;13;10;5;3;2
C05;Palate;47;-;-;-;-;-;1;-;1;-;4;4;7;7;9;4;6;3;1
C06;Mouth, NOS;48;-;-;-;-;-;-;-;2;1;-;4;7;4;4;11;5;5;5
C07;Parotid gland;53;-;-;-;-;1;1;1;3;3;2;8;3;8;8;3;5;4;3
C08;Salivary glands, NOS;6;-;-;-;-;-;-;-;1;1;-;1;-;1;-;-;1;-;1
C09;Tonsil;62;-;-;-;-;-;-;-;-;-;1;6;13;12;8;4;8;5;5
C10;Oropharynx;37;-;-;-;-;-;-;-;-;-;-;-;10;8;12;4;1;1;1
C11;Nasopharynx;21;-;-;-;-;-;-;1;2;3;-;2;1;3;5;1;1;1;1
C12;Pyriform sinus;30;-;-;-;-;-;-;-;-;-;-;3;5;5;7;5;3;1;1
C13;Hypopharynx;16;-;-;-;-;-;-;-;-;-;-;-;1;2;3;5;1;1;3
C14;Lip, oral cavity and pharynx, NOS;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1
C15;Oesophagus;309;-;-;-;-;-;-;1;-;3;6;12;21;40;33;47;63;33;50
C16;Stomach;502;-;-;-;-;1;-;9;7;8;19;28;27;55;49;63;61;70;105
C17;Small intestine;177;-;-;-;-;1;1;2;5;1;6;19;14;24;20;23;16;17;28
C18;Colon;2809;-;1;4;10;10;15;16;20;31;63;141;154;244;311;408;362;467;552
C19;Rectosigmoid junction;43;-;-;-;-;-;-;-;-;1;-;4;5;2;7;9;4;5;6
C20;Rectum;838;-;-;-;-;-;3;5;7;14;23;59;73;93;110;103;103;123;122
C21;Anus and anal canal;133;-;-;-;-;-;-;-;4;1;7;12;13;24;22;18;12;9;11
C22;Liver and intrahepatic bile ducts;302;1;1;-;-;1;-;3;1;6;13;12;13;34;49;52;48;38;30
C23;Gallbladder;49;-;-;-;-;-;-;-;-;1;1;1;3;4;3;10;7;9;10
C24;Biliary tract, NOS;145;-;-;-;-;-;-;-;1;2;2;8;7;15;17;22;27;25;19
C25;Pancreas;987;-;-;1;2;2;2;2;4;10;35;41;58;106;143;161;146;152;122
C26;Other ill-defined digestive organs;20;-;-;-;-;-;-;-;-;1;2;1;1;2;1;6;2;1;3
C30;Nasal cavity and middle ear;24;-;-;-;-;-;1;-;-;-;2;1;5;1;3;5;2;2;2
C31;Accessory sinuses;14;1;-;-;-;-;-;-;-;1;-;1;-;3;1;1;2;3;1
C32;Larynx;72;-;-;-;-;-;-;2;-;1;1;6;10;14;11;17;6;2;2
C33;Trachea;4;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;1
C34;Bronchus and lung;3250;-;-;-;-;1;2;8;12;33;73;213;372;502;616;571;386;286;175
C37;Thymus;49;-;-;-;-;-;-;1;3;1;2;6;6;6;6;6;6;4;2
C38;Heart, mediastinum and pleura;14;-;-;-;-;-;-;-;1;1;-;-;2;2;1;-;3;1;3
C39;Respiratory system and intrathoracic organs, NOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C40;Bone and articular cartilage of limbs;23;-;2;4;3;-;1;2;-;1;2;4;3;-;-;1;-;-;-
C41;Bone and articular cartilage, NOS;29;1;-;2;-;2;1;1;-;1;3;2;2;2;2;4;2;1;3
C43;Melanoma of skin;2070;-;-;1;5;23;56;86;112;146;211;253;230;203;199;181;128;110;126
C44;Malignant neoplasms of skin;3644;-;-;-;1;-;1;1;11;21;53;91;161;222;320;411;513;672;1166
C45;Mesothelioma;53;-;-;-;-;-;-;-;1;1;1;2;4;5;6;16;8;4;5
C46;Kaposi's sarcoma;11;-;-;-;-;-;-;1;1;2;1;-;-;1;1;1;-;-;3
C47,C49;Soft tissues;162;11;3;3;1;2;1;3;5;4;11;12;10;15;12;9;20;17;23
C48;Retroperitoneum and peritoneum;54;-;1;-;-;-;-;-;-;-;2;2;4;7;9;10;10;5;4
C50;Breast;10962;-;-;-;-;4;57;137;325;546;977;1142;1187;1367;1400;1226;928;849;817
C51;Vulva;263;-;-;-;-;-;1;3;10;7;11;19;18;25;29;28;29;33;50
C52;Vagina;46;-;-;-;-;-;-;-;1;2;1;3;3;8;6;5;5;5;7
C53;Cervix uteri;604;-;-;-;1;-;15;38;53;66;65;75;65;61;46;44;27;29;19
C54;Corpus uteri;1343;-;-;-;-;-;2;2;8;18;32;57;126;166;212;241;194;139;146
C55;Uterus;9;-;-;-;-;-;1;1;-;-;1;-;1;2;-;-;2;1;-
C56;Ovary;697;-;-;3;3;5;3;8;6;19;28;63;71;67;83;108;72;86;72
C57;Female genital organs, NOS;117;-;-;-;-;-;-;-;1;1;3;6;10;14;20;16;18;18;10
C58;Placenta;11;-;-;-;-;1;1;3;2;2;2;-;-;-;-;-;-;-;-
C64;Kidney;681;6;2;1;2;3;-;2;10;9;21;38;48;80;97;98;105;75;84
C65;Renal pelvis;109;-;-;-;-;-;-;-;-;-;1;4;3;11;15;9;23;21;22
C66;Ureter;54;-;-;-;-;-;-;-;-;-;1;2;3;1;7;5;9;14;12
C67;Bladder;511;-;-;-;-;-;-;-;1;5;11;9;22;51;60;76;63;105;108
C68;Urinary organs, NOS;7;-;-;-;-;-;-;-;-;1;-;-;-;-;2;1;1;1;1
C69;Eye and adnexa;66;4;-;-;-;-;-;1;3;1;3;5;9;8;6;8;4;8;6
C70;Meninges;9;-;-;-;1;-;-;-;1;1;-;-;3;-;-;2;1;-;-
C71;Brain;370;6;4;2;6;9;7;15;13;16;11;24;22;36;49;53;37;37;23
C72;Spinal cord, cranial nerves and CNS, NOS;23;2;2;1;-;-;1;1;1;4;2;2;-;2;3;1;1;-;-
C73;Thyroid gland;705;-;-;2;7;18;32;33;61;67;90;73;81;64;61;53;30;21;12
C74;Adrenal gland;31;1;1;-;-;1;2;-;3;2;-;2;1;4;7;1;4;2;-
C75;Endocrine glands, NOS;23;-;-;-;-;-;1;-;1;-;3;2;2;3;4;4;3;-;-
C81;Hodgkin lymphoma;152;-;3;6;15;15;18;22;14;13;1;4;8;5;6;6;3;9;4
C82-C86;Non-Hodgkin-lymphoma;931;2;1;3;4;5;3;13;13;32;24;46;60;76;122;129;135;142;121
C88;Malignant immunoproliferative diseases;198;-;1;-;-;1;1;-;2;2;4;9;17;17;34;38;33;20;19
C90;Multiple myeloma;417;-;-;-;-;-;1;1;2;4;10;15;32;47;51;68;52;76;58
C91;Lymphoid leukaemia;447;19;11;4;3;2;3;2;6;11;14;23;38;46;47;62;55;49;52
C92;Myeloid leukaemia;323;1;3;-;2;6;8;4;8;9;12;22;26;27;33;45;25;49;43
C93;Monocytic leukaemia;80;-;-;1;-;-;1;-;-;1;2;2;3;4;8;11;8;21;18
C94-C95;Leukaemia other;15;-;-;-;-;-;-;-;-;1;-;1;-;-;3;3;2;2;3
C96;Lymphoid, haematopoietic and related tissue, NOS;7;-;-;1;-;-;1;-;1;-;-;-;-;2;-;2;-;-;-
C76;Other and ill-defined sites;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
C80;Unknown primary site;324;-;-;-;-;-;-;-;3;3;8;9;14;39;36;38;46;59;69
MPN;Myeloproliferative neoplasms;434;-;-;-;1;4;3;6;5;13;15;20;30;33;50;69;57;66;62
MDS;Myelodysplastic syndromes;367;1;-;-;1;-;-;1;2;-;4;10;10;28;38;71;61;68;72
Total;;36723;56;36;39;68;118;248;443;764;1160;1920;2663;3183;4009;4590;4749;4031;4103;4543
Total excl. non-melanoma;;33079;56;36;39;67;118;247;442;753;1139;1867;2572;3022;3787;4270;4338;3518;3431;3377
Total excl. non-melanoma and MDS, MPN;;32278;55;36;39;65;114;244;435;746;1126;1848;2542;2982;3726;4182;4198;3400;3297;3243
