icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;28;1;-;-;-;-;-;-;-;1;1;5;3;2;2;1;3;2;7
C01;Base of tongue;59;-;-;-;-;-;-;-;-;-;5;7;11;8;10;10;4;2;2
C02;Tongue;74;-;-;-;-;-;-;3;3;2;8;12;11;12;6;6;6;3;2
C03;Gum;12;-;-;-;-;-;-;-;-;-;2;-;1;1;1;3;1;1;2
C04;Floor of mouth;79;-;1;-;-;-;-;-;1;2;10;12;20;10;13;5;2;3;-
C05;Palate;34;-;-;-;-;-;-;-;-;-;4;4;6;7;3;4;3;2;1
C06;Mouth, NOS;25;-;-;-;-;-;-;-;-;-;3;2;7;6;5;1;1;-;-
C07;Parotid gland;44;-;-;-;-;-;-;-;2;-;-;2;5;5;4;8;10;4;4
C08;Salivary glands, NOS;6;-;-;-;-;-;1;-;-;-;-;-;-;2;-;1;1;1;-
C09;Tonsil;101;-;-;-;-;-;-;1;-;2;10;11;24;22;15;9;3;3;1
C10;Oropharynx;61;-;-;-;-;-;-;-;-;-;5;11;11;13;11;3;4;2;1
C11;Nasopharynx;23;-;-;-;-;-;-;1;1;1;2;3;5;2;2;2;1;2;1
C12;Pyriform sinus;70;-;-;-;-;-;-;-;-;1;2;9;9;14;15;13;5;1;1
C13;Hypopharynx;46;-;-;-;-;-;-;-;-;1;-;7;8;9;8;8;1;2;2
C14;Lip, oral cavity and pharynx, NOS;9;-;-;-;-;-;-;-;-;-;1;2;-;2;1;2;-;1;-
C15;Oesophagus;422;-;-;-;-;-;1;1;-;9;15;44;49;59;71;54;57;29;33
C16;Stomach;559;-;-;-;-;1;1;3;2;17;9;28;51;62;60;82;104;88;51
C17;Small intestine;93;-;-;-;-;1;-;-;1;4;4;3;12;12;19;11;10;11;5
C18;Colon;1965;-;-;-;4;3;4;6;16;13;41;90;149;203;251;327;354;283;221
C19;Rectosigmoid junction;103;-;-;-;-;1;-;-;-;1;3;5;5;13;16;17;23;16;3
C20;Rectum;1003;-;-;-;-;-;-;2;4;22;27;72;79;150;168;140;161;116;62
C21;Anus and anal canal;33;-;-;-;-;-;-;-;-;4;4;4;5;2;2;5;4;2;1
C22;Liver and intrahepatic bile ducts;253;-;-;-;1;1;-;2;3;2;8;12;28;43;36;44;38;32;3
C23;Gallbladder;16;-;-;-;-;-;-;-;-;-;-;-;1;2;4;3;2;1;3
C24;Biliary tract, NOS;105;-;-;-;-;-;-;-;-;1;4;2;11;17;9;20;21;11;9
C25;Pancreas;422;-;-;-;-;-;1;2;3;3;15;28;42;49;65;79;72;48;15
C26;Other ill-defined digestive organs;13;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;1;2;5
C30;Nasal cavity and middle ear;23;-;-;-;-;-;-;-;-;-;-;2;4;2;2;4;3;3;3
C31;Accessory sinuses;47;-;-;-;-;-;-;-;-;1;2;4;6;8;8;5;5;8;-
C32;Larynx;324;-;-;-;-;-;-;-;1;4;5;27;48;62;54;54;35;26;8
C33;Trachea;5;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;2;-;-
C34;Bronchus and lung;3347;-;-;-;-;1;1;2;5;18;64;169;303;456;553;591;559;417;208
C37;Thymus;19;-;-;-;-;-;-;1;-;2;2;5;1;-;2;4;1;-;1
C38;Heart, mediastinum and pleura;19;1;-;-;-;2;-;3;-;-;3;1;-;1;1;3;1;3;-
C39;Respiratory system and intrathoracic organs, NOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C40;Bone and articular cartilage of limbs;19;-;1;2;4;-;1;-;2;1;2;-;2;1;-;3;-;-;-
C41;Bone and articular cartilage, NOS;14;-;-;-;1;3;-;-;-;2;1;1;1;2;-;2;1;-;-
C43;Malignant melanoma of skin;513;-;1;1;2;5;10;13;20;32;46;52;49;57;64;55;59;24;23
C44;Malignant neoplasms of skin;1791;-;-;-;1;1;2;3;7;10;24;51;51;112;170;259;367;382;351
C45;Mesothelioma;167;-;-;-;-;-;-;-;-;-;4;4;15;17;24;34;38;16;15
C46;Kaposi's sarcoma;14;-;-;-;-;-;1;1;1;3;1;-;1;-;3;1;-;1;1
C47,C49;Soft tissues;102;1;-;2;2;3;2;2;1;8;8;7;12;10;10;8;12;6;8
C48;Retroperitoneum and peritoneum;11;1;-;-;-;1;-;-;-;-;2;-;1;-;1;-;-;4;1
C50;Breast;48;-;-;-;-;-;-;-;-;3;2;4;2;4;8;8;3;8;6
C60;Penis;39;-;-;-;-;-;-;-;-;1;3;2;3;5;6;4;1;7;7
C61;Prostate;5880;-;-;-;-;-;-;-;1;6;52;263;553;910;1134;1076;1041;531;313
C62;Testis;180;3;-;-;6;19;27;54;19;27;11;5;5;1;1;1;1;-;-
C63;Male genital organs, NOS;3;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-
C64;Kidney;639;4;2;-;1;-;2;3;11;22;37;50;60;105;91;85;106;42;18
C65;Renal pelvis;79;-;-;-;-;-;-;-;-;-;2;2;7;5;9;13;19;11;11
C66;Ureter;70;-;-;-;-;-;-;-;-;-;3;1;9;5;9;9;14;17;3
C67;Bladder;1101;-;-;-;-;-;-;1;1;5;12;28;71;111;140;166;240;180;146
C68;Urinary organs, NOS;27;-;-;-;-;-;-;-;-;-;2;-;1;2;3;4;6;8;1
C69;Eye and adnexa;45;5;-;-;-;1;-;2;1;1;1;3;4;8;5;6;3;4;1
C70;Meninges;4;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;1;-;-
C71;Brain;266;1;4;8;2;5;7;6;10;13;19;34;20;39;27;28;23;11;9
C72;Spinal cord, cranial nerves and CNS, NOS;9;1;1;-;-;-;1;-;1;1;-;-;1;1;2;-;-;-;-
C73;Thyroid gland;128;-;-;-;1;1;1;4;9;15;9;10;12;10;18;11;9;15;3
C74;Adrenal gland;22;6;-;-;1;1;-;-;1;-;-;3;2;2;3;2;1;-;-
C75;Endocrine glands, NOS;7;-;-;-;-;-;1;-;-;-;-;-;2;1;-;-;1;1;1
C81;Hodgkin's disease;108;-;1;6;7;14;11;8;6;10;4;4;8;7;7;4;5;6;-
C82-C86;Non-Hodgkin-lymphoma;599;2;2;5;3;5;5;7;17;14;27;44;49;70;80;79;84;58;48
C88;Malignant immunoproliferative diseases;71;-;-;-;-;-;2;1;1;1;4;7;6;9;6;14;9;7;4
C90;Multiple myeloma;239;-;-;-;-;-;-;-;3;6;9;18;27;28;25;42;37;26;18
C91;Lymphoid leukaemia;319;6;3;6;6;2;-;4;2;12;13;17;40;34;53;32;40;29;20
C92;Myeloid leukaemia;212;1;-;1;2;4;1;4;3;14;18;12;18;20;19;23;35;29;8
C93;Monocytic leukaemia;40;-;-;-;-;1;-;1;-;-;-;-;4;1;8;3;13;5;4
C94-C95;Leukaemia other;31;-;-;-;-;-;-;-;-;-;1;3;3;2;3;2;6;5;6
C96;Lymphoid, haematopoietic and related tissue, NOS;17;5;-;1;1;1;-;2;-;-;2;1;1;2;-;-;-;1;-
C76;Other and ill-defined sites;4;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;1;-
C80;Unknown primary site;281;-;-;-;-;-;1;1;2;2;8;20;26;32;37;33;45;41;33
MPD;Myeloproliferative Disorders;180;-;-;-;-;-;2;2;3;6;8;9;14;24;21;25;26;26;14
MDS;Myelodysplastic syndromes;232;-;1;1;-;-;1;-;-;-;1;6;11;17;35;28;58;42;31
Total;;22953;38;17;33;46;77;87;147;164;326;597;1246;2009;2913;3441;3582;3802;2669;1759
Total excl. non-melanoma;;21162;38;17;33;45;76;85;144;157;316;573;1195;1958;2801;3271;3323;3435;2287;1408
Total excl. non-melanoma and MDS, MPD;;20750;38;16;32;45;76;82;142;154;310;564;1180;1933;2760;3215;3270;3351;2219;1363
ICD10 - Version 2010;;;;;;;;;;;;;;;;;;;;
