icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;4;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;1
C01;Base of tongue;11;-;-;-;-;-;-;1;-;-;-;1;3;3;-;1;-;2;-
C02;Tongue;34;-;-;-;-;1;-;1;-;1;-;7;3;7;3;3;2;5;1
C03;Gum;15;-;-;-;-;-;-;1;-;1;-;1;-;1;1;2;5;1;2
C04;Floor of mouth;21;-;-;-;-;-;-;-;-;-;2;3;5;8;-;-;-;2;1
C05;Palate;12;-;-;-;-;1;-;-;-;-;1;3;1;1;-;4;1;-;-
C06;Mouth, NOS;16;-;-;-;-;-;-;-;-;-;2;3;5;-;1;1;1;2;1
C07;Parotid gland;18;-;-;-;1;-;1;-;2;-;-;1;3;1;3;1;1;4;-
C08;Salivary glands, NOS;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-
C09;Tonsil;28;-;-;-;-;-;-;-;-;1;2;4;8;6;1;-;3;2;1
C10;Oropharynx;13;-;-;-;-;-;-;-;-;-;1;2;3;2;3;-;2;-;-
C11;Nasopharynx;4;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;2;-
C12;Pyriform sinus;15;-;-;-;-;-;-;-;-;-;-;3;4;3;2;3;-;-;-
C13;Hypopharynx;3;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-
C14;Lip, oral cavity and pharynx, NOS;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-
C15;Oesophagus;91;-;-;-;-;-;-;-;2;2;3;6;14;14;7;12;11;13;7
C16;Stomach;165;-;-;-;-;1;-;1;3;1;4;4;17;9;23;18;20;23;41
C17;Small intestine;34;-;-;-;-;1;-;-;-;3;-;3;2;5;2;4;6;4;4
C18;Colon;716;-;1;1;-;2;3;4;5;5;22;35;43;64;63;86;116;140;126
C19;Rectosigmoid junction;50;-;-;-;-;-;-;-;1;-;1;5;3;5;5;8;9;7;6
C20;Rectum;301;-;1;-;-;-;-;1;4;6;12;21;30;31;31;36;46;40;42
C21;Anus and anal canal;40;-;-;-;-;-;-;-;-;3;3;1;4;9;4;4;8;-;4
C22;Liver and intrahepatic bile ducts;71;-;-;-;-;-;-;-;1;1;2;3;5;12;13;6;14;10;4
C23;Gallbladder;33;-;-;-;-;-;-;-;-;-;-;4;-;2;4;4;7;7;5
C24;Biliary tract, NOS;46;-;-;-;-;-;-;-;-;-;1;1;1;6;6;4;10;6;11
C25;Pancreas;248;-;-;-;-;1;-;2;2;6;4;16;11;29;29;41;46;36;25
C26;Other ill-defined digestive organs;6;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;3;1;-
C30;Nasal cavity and middle ear;4;-;1;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-
C31;Accessory sinuses;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
C32;Larynx;34;-;-;-;-;-;-;-;-;1;3;4;7;9;5;2;1;1;1
