icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;33;-;-;-;-;-;-;-;-;-;-;4;6;4;4;4;2;5;4
C01;Base of tongue;151;-;-;-;-;-;-;-;-;4;6;13;19;36;23;30;11;8;1
C02;Tongue;205;-;-;-;-;-;-;2;4;4;6;20;26;46;43;22;17;12;3
C03;Gum;31;-;-;-;-;-;-;-;-;-;-;-;3;5;5;4;7;6;1
C04;Floor of mouth;139;-;-;-;-;-;-;-;1;1;8;14;28;33;29;10;9;2;4
C05;Palate;81;-;-;-;-;1;-;-;1;4;-;10;9;13;17;13;5;5;3
C06;Mouth, NOS;62;-;-;-;-;1;-;-;-;-;1;4;10;9;10;12;8;5;2
C07;Parotid gland;68;-;-;-;-;-;-;1;1;3;1;7;5;7;5;8;7;8;15
C08;Salivary glands, NOS;15;-;-;-;-;-;-;-;-;2;-;1;2;2;3;1;1;1;2
C09;Tonsil;197;-;-;-;-;-;-;1;2;3;12;24;40;34;39;19;13;5;5
C10;Oropharynx;130;-;-;-;-;-;-;-;-;-;2;5;22;34;28;18;12;8;1
C11;Nasopharynx;39;-;-;-;-;1;-;-;3;7;4;5;3;3;3;6;2;2;-
C12;Pyriform sinus;136;-;-;-;-;-;-;-;1;-;2;8;17;31;29;15;15;13;5
C13;Hypopharynx;86;-;-;-;-;1;-;-;-;-;-;2;13;24;8;20;13;3;2
C14;Lip, oral cavity and pharynx, NOS;14;-;-;-;-;-;-;-;-;-;-;-;4;3;3;3;1;-;-
C15;Oesophagus;799;-;-;-;-;1;-;2;3;3;19;43;70;119;138;151;128;75;47
C16;Stomach;917;-;1;-;-;1;1;6;7;17;25;36;84;104;121;141;151;122;100
C17;Small intestine;210;-;-;-;-;-;-;-;2;7;13;11;18;33;27;36;27;17;19
C18;Colon;2988;-;1;7;3;6;13;22;27;43;67;133;214;320;408;491;461;372;400
C19;Rectosigmoid junction;63;-;-;-;-;-;-;-;1;1;2;2;5;5;6;15;9;8;9
C20;Rectum;1336;-;-;-;-;1;3;13;13;14;39;83;127;171;230;220;159;145;118
C21;Anus and anal canal;101;-;-;-;-;-;-;1;1;1;2;4;10;16;11;19;12;10;14
C22;Liver and intrahepatic bile ducts;790;2;1;-;2;-;2;3;3;5;9;22;46;107;161;177;127;84;39
C23;Gallbladder;34;-;-;-;-;-;-;-;-;1;1;1;5;2;3;6;5;7;3
C24;Biliary tract, NOS;233;-;-;-;-;1;-;-;-;1;2;4;21;18;36;49;40;41;20
C25;Pancreas;1156;-;-;-;-;3;3;4;6;14;25;58;99;151;178;221;165;138;91
C26;Other ill-defined digestive organs;23;-;-;-;-;-;-;-;2;1;-;1;-;2;6;5;3;2;1
C30;Nasal cavity and middle ear;52;1;-;-;-;1;-;-;2;1;3;2;2;7;11;11;4;5;2
C31;Accessory sinuses;52;-;-;-;-;-;-;1;1;2;3;3;5;5;10;9;7;3;3
C32;Larynx;460;-;-;-;-;-;-;-;5;7;11;31;47;67;85;100;64;20;23
C33;Trachea;3;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-
C34;Bronchus and lung;5675;2;-;-;-;1;1;6;21;35;99;193;425;739;1028;1132;914;666;413
C37;Thymus;63;-;-;-;-;-;-;3;3;2;4;4;6;6;10;11;7;4;3
C38;Heart, mediastinum and pleura;23;-;-;1;1;-;2;-;2;2;-;3;1;4;1;1;-;2;3
C39;Respiratory system and intrathoracic organs, NOS;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
C40;Bone and articular cartilage of limbs;33;-;-;5;6;2;1;1;1;3;1;1;2;2;1;2;2;2;1
C41;Bone and articular cartilage, NOS;53;-;2;2;1;2;4;6;2;3;5;1;2;6;3;2;4;3;5
C43;Malignant melanoma of skin;1711;1;-;-;2;10;21;29;47;80;93;142;223;219;219;217;196;112;100
C44;Malignant neoplasms of skin;5841;-;-;-;-;2;4;2;12;34;44;99;165;327;481;819;1026;1237;1589
C45;Mesothelioma;241;-;-;-;-;-;-;-;2;2;4;4;5;25;42;39;41;43;34
C46;Kaposi's sarcoma;38;-;-;-;-;-;-;-;4;1;2;8;9;3;2;3;5;1;-
C47,C49;Soft tissues;194;5;-;3;2;3;5;2;4;5;3;7;19;11;20;22;28;17;38
