icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;37;-;-;-;-;-;-;-;1;-;-;5;2;7;7;5;4;2;4
C01;Base of tongue;125;-;-;-;-;-;-;-;-;1;7;12;24;25;27;11;8;4;6
C02;Tongue;158;-;-;-;-;-;-;-;4;5;6;27;29;30;24;14;6;7;6
C03;Gum;36;-;-;-;-;-;-;-;-;-;1;5;4;4;6;10;4;1;1
C04;Floor of mouth;148;-;-;-;-;-;-;-;-;3;6;25;35;33;24;13;4;4;1
C05;Palate;70;-;-;-;-;-;1;-;-;2;4;12;13;17;10;5;3;2;1
C06;Mouth, NOS;43;-;-;-;-;1;-;-;1;-;-;6;8;4;13;3;4;1;2
C07;Parotid gland;73;-;-;1;1;1;1;2;3;1;5;3;6;8;6;6;13;10;6
C08;Salivary glands, NOS;16;-;-;-;-;-;-;1;-;1;1;2;3;1;3;1;1;2;-
C09;Tonsil;158;-;-;-;-;-;-;1;-;5;13;27;34;29;21;14;8;3;3
C10;Oropharynx;168;-;-;-;-;-;-;-;1;4;8;22;42;35;23;13;11;5;4
C11;Nasopharynx;51;-;-;-;-;-;-;1;2;6;6;12;6;7;4;5;2;-;-
C12;Pyriform sinus;148;-;-;-;-;-;-;-;1;1;4;28;26;39;20;12;9;7;1
C13;Hypopharynx;92;-;-;-;-;-;-;-;-;2;5;15;24;16;16;3;6;5;-
C14;Lip, oral cavity and pharynx, NOS;13;-;-;-;-;-;-;-;-;-;-;5;-;3;3;1;-;1;-
C15;Oesophagus;709;-;-;-;-;-;1;-;-;8;19;57;97;123;128;91;76;65;44
C16;Stomach;939;-;1;-;1;-;4;7;5;17;35;54;88;93;135;146;137;119;97
C17;Small intestine;165;-;-;-;-;-;-;-;3;5;11;17;12;21;30;18;18;18;12
C18;Colon;3150;-;-;4;5;13;12;15;23;31;76;126;186;343;479;486;507;517;327
C19;Rectosigmoid junction;148;-;-;-;-;-;-;-;1;2;5;6;9;19;19;27;22;26;12
C20;Rectum;1489;-;-;-;-;2;1;4;11;24;52;83;156;186;229;236;218;178;109
C21;Anus and anal canal;74;-;-;-;-;-;-;-;2;2;8;11;11;8;5;6;14;5;2
C22;Liver and intrahepatic bile ducts;615;2;1;-;1;-;2;1;5;6;14;37;67;96;124;98;82;57;22
C23;Gallbladder;40;-;-;-;-;-;-;-;-;2;1;3;2;5;9;3;5;6;4
C24;Biliary tract, NOS;145;-;-;-;-;-;-;-;-;3;3;4;11;18;22;28;27;17;12
C25;Pancreas;858;-;-;-;-;-;-;4;3;6;23;47;82;103;170;139;127;111;43
C26;Other ill-defined digestive organs;12;-;-;-;-;-;-;-;-;-;-;-;3;2;1;1;2;2;1
C30;Nasal cavity and middle ear;28;-;-;-;-;-;-;-;-;1;2;3;-;4;2;3;6;4;3
C31;Accessory sinuses;50;1;-;-;-;-;-;-;1;-;4;2;8;7;4;7;7;6;3
C32;Larynx;552;-;-;-;-;-;-;1;2;7;16;55;78;114;89;71;62;39;18
C33;Trachea;5;-;-;-;-;-;-;-;-;-;-;1;2;1;-;1;-;-;-
C34;Bronchus and lung;5705;-;-;-;-;2;2;3;25;37;105;274;580;806;1012;901;940;673;345
C37;Thymus;17;-;-;-;-;-;1;-;1;1;3;-;3;2;1;2;2;-;1
C38;Heart, mediastinum and pleura;33;3;-;-;1;2;2;1;-;2;-;1;4;4;-;4;2;5;2
C39;Respiratory system and intrathoracic organs, NOS;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
C40;Bone and articular cartilage of limbs;27;-;6;-;4;3;3;-;1;1;-;1;3;1;2;1;1;-;-
C41;Bone and articular cartilage, NOS;34;-;2;1;-;3;1;4;3;-;3;4;2;3;3;2;1;-;2
C43;Malignant melanoma of skin;1082;-;-;-;3;13;19;27;42;61;84;122;108;106;128;107;124;88;50
C44;Malignant neoplasms of skin;3538;-;-;2;3;2;7;11;11;20;46;70;142;180;306;516;676;753;793
C45;Mesothelioma;229;-;-;-;-;-;-;-;-;1;2;10;17;35;26;43;39;32;24
C46;Kaposi's sarcoma;41;-;-;-;-;-;1;1;3;4;7;2;9;3;4;3;3;-;1
C47,C49;Soft tissues;183;3;2;3;4;1;3;6;2;7;9;12;21;22;18;13;25;16;16
C48;Retroperitoneum and peritoneum;13;-;-;1;1;-;-;1;1;1;-;3;1;1;-;-;1;1;1
C50;Breast;83;-;-;-;-;-;-;-;-;2;2;4;10;9;9;17;8;12;10
C60;Penis;101;-;-;-;-;-;-;-;-;1;8;8;10;11;12;13;15;14;9
C61;Prostate;7909;-;-;-;-;1;-;1;2;9;84;384;745;1257;1669;1349;1227;766;415
