icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;64;-;-;-;-;-;-;-;-;2;2;3;5;7;9;18;8;7;3
C01;Base of tongue;51;-;-;-;-;-;-;-;1;2;6;11;12;7;3;4;3;-;2
C02;Tongue;175;-;-;-;-;-;1;1;3;8;18;36;35;20;16;22;6;7;2
C03;Gum;32;-;-;-;-;-;-;-;-;2;2;5;6;9;5;1;-;-;2
C04;Floor of mouth;152;-;-;-;-;-;-;-;1;9;21;30;35;20;16;12;5;2;1
C05;Palate;69;-;-;-;-;-;-;-;-;3;6;13;18;13;3;5;2;5;1
C06;Mouth, NOS;70;-;-;-;-;1;-;-;1;3;3;11;9;9;7;10;8;6;2
C07;Parotid gland;48;-;-;1;-;1;1;1;2;3;-;-;6;5;3;11;6;2;6
C08;Salivary glands, NOS;26;-;-;-;-;1;-;-;-;3;2;1;2;2;3;4;1;5;2
C09;Tonsil;161;-;-;-;-;-;-;1;-;7;16;36;36;24;13;14;9;3;2
C10;Oropharynx;99;-;-;-;-;-;-;-;2;2;17;20;26;10;9;8;4;-;1
C11;Nasopharynx;37;-;-;-;-;2;3;1;2;2;5;3;4;6;3;3;-;2;1
C12;Pyriform sinus;122;-;-;-;-;-;-;-;-;-;14;19;23;20;20;11;12;3;-
C13;Hypopharynx;46;-;-;-;-;-;-;-;-;1;3;6;16;10;5;2;3;-;-
C14;Lip, oral cavity and pharynx, NOS;48;-;-;-;-;-;-;-;-;1;7;13;10;3;7;4;2;-;1
C15;Oesophagus;672;-;-;-;-;-;1;-;-;14;45;67;112;86;106;102;82;37;20
C16;Stomach;872;-;-;-;-;-;3;11;14;20;28;62;55;86;126;136;161;105;65
C17;Small intestine;100;-;-;-;-;-;1;-;2;2;7;9;13;11;16;16;11;10;2
C18;Colon;2707;-;-;4;5;4;3;8;22;39;54;136;217;252;369;519;526;376;173
C19;Rectosigmoid junction;210;-;-;-;-;-;-;1;3;1;6;16;19;24;32;41;32;20;15
C20;Rectum;1249;-;-;-;-;-;1;1;8;21;41;67;131;136;209;232;190;149;63
C21;Anus and anal canal;52;-;-;-;-;-;-;-;2;1;4;4;10;7;5;6;5;5;3
C22;Liver and intrahepatic bile ducts;302;-;-;-;-;1;3;1;3;3;15;17;35;46;37;71;33;32;5
C23;Gallbladder;30;-;-;-;-;-;-;-;-;-;1;2;-;4;7;5;4;6;1
C24;Biliary tract, NOS;105;-;-;-;-;-;-;-;2;2;4;4;11;9;17;13;27;13;3
C25;Pancreas;541;-;-;-;-;-;-;1;3;15;25;30;64;64;67;117;96;45;14
C26;Other ill-defined digestive organs;10;-;-;-;-;1;-;-;-;1;-;2;-;1;-;1;3;-;1
C30;Nasal cavity and middle ear;20;-;-;-;-;-;-;-;-;-;4;3;2;2;2;3;2;2;-
C31;Accessory sinuses;71;-;-;-;-;-;1;-;1;1;1;6;22;7;8;10;5;7;2
C32;Larynx;564;-;-;-;-;-;-;-;2;9;38;58;93;87;82;79;66;37;13
C33;Trachea;11;-;-;-;-;-;-;-;-;-;1;-;1;3;1;2;-;3;-
C34;Bronchus and lung;5392;-;-;-;1;1;1;9;19;62;158;340;553;733;842;1057;902;542;172
C37;Thymus;16;-;-;-;-;-;-;-;-;-;1;1;4;1;3;3;3;-;-
C38;Heart, mediastinum and pleura;9;-;-;-;-;-;-;-;2;-;1;1;1;-;-;2;-;1;1
C39;Respiratory system and intrathoracic organs, NOS;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-
C40;Bone and articular cartilage of limbs;35;-;-;4;8;3;3;3;1;2;1;2;3;-;1;4;-;-;-
C41;Bone and articular cartilage, NOS;37;1;1;3;3;4;4;1;4;4;1;3;2;2;1;1;1;1;-
C43;Malignant melanoma of skin;633;-;-;1;2;11;19;18;36;64;50;44;55;48;82;61;65;56;21
C44;Malignant neoplasms of skin;1762;-;-;1;-;2;3;8;11;15;29;47;81;124;191;284;380;369;217
C45;Mesothelioma;211;-;-;-;-;-;-;1;1;1;4;6;15;32;38;42;41;20;10
C46;Kaposi's sarcoma;25;-;-;-;-;-;1;3;6;3;1;2;2;2;-;3;-;1;1
C47,C49;Soft tissues;210;3;2;5;1;5;3;8;17;13;11;21;23;15;13;16;22;22;10
C48;Retroperitoneum and peritoneum;23;1;-;-;-;-;1;1;-;1;-;1;4;2;4;3;2;1;2
C50;Breast;83;-;-;-;-;-;-;1;-;1;3;5;5;12;13;14;12;10;7
C60;Penis;67;-;-;-;1;1;-;-;2;2;8;4;7;3;8;5;15;6;5
C61;Prostate;9709;-;-;-;-;-;-;-;-;16;112;438;1014;1213;1908;1999;1616;963;430
C62;Testis;287;-;-;-;10;36;48;67;40;31;13;14;10;4;4;5;2;2;1
C63;Male genital organs, NOS;12;1;-;-;1;-;-;-;-;-;2;-;3;-;1;2;-;-;2
C64;Kidney;842;8;2;2;1;-;2;1;17;33;34;48;104;110;144;130;124;69;13
C65;Renal pelvis;114;-;-;-;-;-;-;-;1;-;3;1;13;4;20;23;25;17;7
C66;Ureter;68;-;-;-;-;-;-;-;-;2;1;2;6;8;9;18;11;9;2
C67;Bladder;1631;-;-;-;-;-;1;2;4;14;26;65;112;151;222;310;321;272;131
C68;Urinary organs, NOS;25;-;-;-;-;-;-;-;1;-;-;-;2;3;3;5;8;2;1
C69;Eye and adnexa;36;8;1;-;-;-;-;-;-;-;3;1;5;3;2;4;6;2;1
C70;Meninges;8;-;1;-;-;-;-;1;1;-;-;-;1;-;-;1;1;2;-
C71;Brain;434;12;4;5;10;13;9;10;18;37;33;34;39;58;53;44;33;20;2
C72;Spinal cord, cranial nerves and CNS, NOS;11;-;-;1;1;-;-;1;-;2;2;1;-;-;1;1;1;-;-
C73;Thyroid gland;173;-;-;1;2;2;4;5;15;13;26;23;23;17;20;8;7;4;3
C74;Adrenal gland;14;6;-;-;-;-;-;-;1;-;4;1;-;1;-;1;-;-;-
C75;Endocrine glands, NOS;8;-;-;-;2;-;1;1;1;1;-;1;-;-;-;-;1;-;-
C81;Hodgkin's disease;176;1;3;13;11;27;16;13;13;17;8;8;12;8;7;5;9;3;2
C82-C85;Non-Hodgkin-lymphoma;1048;3;4;7;10;13;15;21;22;30;57;82;97;113;123;157;139;114;41
C88;Malignant immunoproliferative diseases;31;-;-;-;-;-;-;-;1;-;1;4;4;3;3;1;12;1;1
C90;Multiple myeloma;356;-;-;-;-;-;-;-;1;8;16;13;38;37;51;68;70;40;14
C91;Lymphoid leukaemia;398;27;13;4;2;2;2;3;9;15;18;22;32;49;51;56;52;30;11
C92;Myeloid leukaemia;306;7;2;1;7;3;8;7;10;10;17;25;20;33;36;43;37;30;10
C93;Monocytic leukaemia;12;-;-;-;-;-;-;1;2;1;1;-;1;2;1;2;-;1;-
C94-C95;Leukaemia other;25;1;-;-;1;-;-;1;-;2;1;2;1;3;6;2;3;1;1
