icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C01;Base of tongue;20;-;-;-;-;-;-;-;-;-;2;-;6;3;2;3;3;-;1
C02;Tongue;27;-;-;-;-;-;1;-;1;1;2;3;3;4;4;2;2;4;-
C03;Gum;16;-;-;-;-;-;-;-;-;-;1;1;2;1;1;3;2;2;3
C04;Floor of mouth;24;-;-;-;-;-;-;-;-;-;3;3;5;5;3;2;3;-;-
C05;Palate;12;-;-;-;-;-;-;-;-;-;-;3;2;2;1;2;1;1;-
C06;Mouth, NOS;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;1
C07;Parotid gland;14;-;-;-;-;-;-;-;1;-;-;1;-;-;1;3;2;3;3
C08;Salivary glands, NOS;9;-;-;-;-;1;-;-;2;-;-;-;1;1;3;-;-;1;-
C09;Tonsil;39;-;-;-;-;-;-;-;-;-;5;3;7;8;7;6;3;-;-
C10;Oropharynx;28;-;-;-;-;-;-;-;-;-;-;6;5;5;6;4;-;1;1
C11;Nasopharynx;5;-;-;-;-;-;-;-;-;-;-;2;-;1;-;1;-;1;-
C12;Pyriform sinus;19;-;-;-;-;-;-;-;-;-;-;1;5;3;1;3;5;1;-
C13;Hypopharynx;8;-;-;-;-;-;-;-;1;-;-;1;1;-;2;2;1;-;-
C14;Lip, oral cavity and pharynx, NOS;2;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-
C15;Oesophagus;94;-;-;-;-;-;-;-;-;-;2;3;10;16;16;17;14;7;9
C16;Stomach;155;-;-;-;-;-;-;-;4;5;5;7;14;14;15;29;17;22;23
C17;Small intestine;42;-;-;-;-;1;-;-;1;-;3;5;5;4;7;6;5;2;3
C18;Colon;844;-;-;-;6;2;5;5;6;5;20;28;55;77;100;128;106;142;159
C19;Rectosigmoid junction;39;-;-;-;-;-;-;-;-;-;-;1;4;2;8;4;6;8;6
C20;Rectum;280;-;-;-;-;-;-;1;3;7;4;19;22;41;47;37;36;26;37
C21;Anus and anal canal;47;-;-;-;-;-;-;1;1;1;3;4;7;3;7;9;5;1;5
C22;Liver and intrahepatic bile ducts;88;1;1;-;-;-;-;-;1;2;3;2;6;9;16;12;12;13;10
C23;Gallbladder;24;-;-;-;-;-;-;-;-;-;1;-;-;3;5;4;5;1;5
C24;Biliary tract, NOS;47;-;-;-;-;1;-;-;-;-;2;3;-;5;3;4;8;7;14
C25;Pancreas;297;-;-;-;1;-;-;-;2;3;8;10;24;27;41;52;51;45;33
C26;Other ill-defined digestive organs;8;-;-;-;-;-;-;-;1;-;-;-;1;2;1;-;1;1;1
C30;Nasal cavity and middle ear;7;-;-;-;-;-;-;-;-;-;1;-;-;3;-;2;1;-;-
C31;Accessory sinuses;7;-;-;-;-;-;-;-;-;-;-;1;1;5;-;-;-;-;-
C32;Larynx;41;-;-;-;-;-;-;-;1;1;1;-;11;10;3;4;4;3;3
C33;Trachea;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C34;Bronchus and lung;1076;-;-;-;-;-;-;2;7;17;35;90;119;208;205;159;120;73;41
C37;Thymus;13;-;-;-;-;-;-;-;-;1;1;1;1;3;1;2;2;1;-
C38;Heart, mediastinum and pleura;5;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;-;-;1
C39;Respiratory system and intrathoracic organs, NOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C40;Bone and articular cartilage of limbs;6;-;-;-;1;-;-;-;-;1;1;1;-;1;-;1;-;-;-
C41;Bone and articular cartilage, NOS;5;-;-;-;-;-;-;-;1;1;-;1;-;1;1;-;-;-;-
C43;Malignant melanoma of skin;587;-;-;1;6;10;28;40;38;42;61;59;54;52;52;48;30;30;36
C44;Malignant neoplasms of skin;846;-;-;-;-;1;1;2;2;4;19;23;40;55;72;117;110;146;254
C45;Mesothelioma;22;-;-;-;-;-;-;-;-;1;-;-;1;2;4;3;2;5;4
C46;Kaposi's sarcoma;4;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;1
C47,C49;Soft tissues;47;2;-;-;1;-;-;2;-;1;2;2;2;4;4;4;3;8;12
C48;Retroperitoneum and peritoneum;24;1;-;-;-;-;-;-;1;-;2;-;2;5;3;4;3;3;-
C50;Breast;3444;-;-;-;1;3;10;45;100;197;280;356;381;477;451;387;281;236;239
C51;Vulva;79;-;-;-;-;-;-;3;2;1;2;5;8;6;12;7;7;13;13
C52;Vagina;14;-;-;-;-;-;-;-;-;-;1;1;1;1;2;4;4;-;-
C53;Cervix uteri;213;-;-;-;-;2;3;13;19;26;28;30;24;16;12;10;13;8;9
C54;Corpus uteri;451;-;-;-;-;-;1;1;1;5;9;29;34;52;76;77;50;63;53
C55;Uterus;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
C56;Ovary;243;-;1;-;1;1;1;2;3;5;17;23;16;38;38;35;25;19;18
C57;Female genital organs, NOS;15;-;-;-;-;-;-;-;-;-;1;4;1;3;3;1;2;-;-
C58;Placenta;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-
C64;Kidney;204;3;2;-;-;2;-;-;4;3;6;14;18;26;33;36;22;20;15
C65;Renal pelvis;22;-;-;-;-;-;-;-;-;-;-;-;-;1;2;3;3;5;8
C66;Ureter;11;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;3;1;3
C67;Bladder;152;-;-;-;-;-;-;-;1;-;4;8;12;8;19;17;22;24;37
C68;Urinary organs, NOS;3;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-
C69;Eye and adnexa;21;4;-;-;-;-;-;-;-;-;2;2;1;5;2;1;1;3;-
C70;Meninges;2;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-
C71;Brain;95;-;2;2;3;-;2;-;5;8;3;4;9;19;5;9;10;8;6
C72;Spinal cord, cranial nerves and CNS, NOS;7;2;-;-;1;-;-;-;1;-;-;1;-;1;1;-;-;-;-
C73;Thyroid gland;300;-;-;-;-;4;18;19;30;34;36;23;32;32;22;25;18;3;4
C74;Adrenal gland;10;2;1;-;-;-;1;-;-;-;-;1;3;1;-;-;-;1;-
C75;Endocrine glands, NOS;9;-;1;-;-;-;-;1;-;1;1;1;1;-;1;-;2;-;-
C81;Hodgkin lymphoma;41;-;1;1;6;5;3;5;1;3;2;2;3;1;3;3;2;-;-
