icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;17;-;-;-;-;-;-;-;-;2;-;2;1;1;2;4;3;2;-
C01;Base of tongue;25;-;-;-;-;-;-;-;-;2;3;5;7;2;1;2;2;-;1
C02;Tongue;62;-;-;-;-;-;-;-;-;2;6;13;19;7;4;5;3;3;-
C03;Gum;20;-;-;-;-;-;-;-;-;2;2;4;3;6;1;-;-;-;2
C04;Floor of mouth;65;-;-;-;-;-;-;-;1;3;12;16;12;9;5;5;2;-;-
C05;Palate;35;-;-;-;-;-;-;-;-;2;2;6;13;6;1;1;-;3;1
C06;Mouth, NOS;20;-;-;-;-;1;-;-;-;1;1;3;3;3;1;4;-;2;1
C07;Parotid gland;15;-;-;-;-;1;-;1;-;2;-;-;1;2;-;3;2;-;3
C08;Salivary glands, NOS;9;-;-;-;-;1;-;-;-;1;1;-;1;1;1;1;1;1;-
C09;Tonsil;65;-;-;-;-;-;-;-;-;1;8;20;12;8;6;6;4;-;-
C10;Oropharynx;51;-;-;-;-;-;-;-;-;1;9;13;14;5;4;2;2;-;1
C11;Nasopharynx;12;-;-;-;-;-;1;-;1;1;1;1;3;1;2;-;-;1;-
C12;Pyriform sinus;53;-;-;-;-;-;-;-;-;-;9;8;8;6;8;6;7;1;-
C13;Hypopharynx;12;-;-;-;-;-;-;-;-;-;-;3;5;3;-;-;1;-;-
C14;Lip, oral cavity and pharynx, NOS;28;-;-;-;-;-;-;-;-;-;4;8;6;2;4;3;1;-;-
C15;Oesophagus;227;-;-;-;-;-;-;-;-;6;19;24;47;29;32;28;27;13;2
C16;Stomach;283;-;-;-;-;-;1;3;2;9;15;21;24;36;42;35;55;28;12
C17;Small intestine;34;-;-;-;-;-;1;-;2;-;2;2;5;1;6;7;5;3;-
C18;Colon;786;-;-;1;2;2;-;2;4;9;25;51;56;70;114;134;168;109;39
C19;Rectosigmoid junction;70;-;-;-;-;-;-;-;1;-;3;5;10;7;10;10;10;11;3
C20;Rectum;344;-;-;-;-;-;-;-;3;4;11;12;46;33;47;64;60;47;17
C21;Anus and anal canal;12;-;-;-;-;-;-;-;-;-;1;1;3;1;2;1;1;1;1
C22;Liver and intrahepatic bile ducts;103;-;-;-;-;-;-;-;1;1;6;6;14;17;10;23;12;12;1
C23;Gallbladder;9;-;-;-;-;-;-;-;-;-;1;1;-;2;3;1;-;1;-
C24;Biliary tract, NOS;34;-;-;-;-;-;-;-;2;-;-;-;2;3;9;4;8;5;1
C25;Pancreas;180;-;-;-;-;-;-;-;1;4;11;14;24;18;24;41;30;11;2
C26;Other ill-defined digestive organs;6;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;2;-;1
