icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;15;-;-;-;-;-;-;-;1;-;-;1;-;2;1;2;5;2;1
C01;Base of tongue;39;-;-;-;-;-;-;-;-;-;1;9;12;2;6;5;3;1;-
C02;Tongue;81;-;-;-;-;-;-;1;2;4;7;17;5;18;7;4;7;5;4
C03;Gum;14;-;-;-;-;-;-;-;-;-;1;1;1;2;2;-;5;2;-
C04;Floor of mouth;68;-;-;-;-;-;-;-;1;1;7;21;13;11;3;8;2;1;-
C05;Palate;23;-;-;-;-;-;-;1;-;-;3;4;6;5;2;2;-;-;-
C06;Mouth, NOS;16;-;-;-;-;-;-;-;-;1;2;4;3;2;2;-;1;1;-
C07;Parotid gland;12;-;-;-;-;-;-;-;1;1;-;1;3;1;-;3;2;-;-
C08;Salivary glands, NOS;5;-;-;-;-;1;-;-;-;-;-;2;1;1;-;-;-;-;-
C09;Tonsil;69;-;-;-;-;-;-;-;-;3;7;14;9;18;8;4;4;1;1
C10;Oropharynx;45;-;-;-;-;-;-;-;-;2;3;13;13;7;3;1;2;1;-
C11;Nasopharynx;16;-;-;-;-;2;-;-;-;1;4;3;-;2;1;2;-;-;1
C12;Pyriform sinus;72;-;-;-;-;-;-;-;1;5;7;15;18;14;7;3;1;1;-
C13;Hypopharynx;35;-;-;-;-;-;-;-;-;-;4;4;9;7;1;1;3;5;1
C14;Lip, oral cavity and pharynx, NOS;12;-;-;-;-;-;-;-;-;-;2;5;3;-;2;-;-;-;-
C15;Oesophagus;215;-;-;-;-;-;-;-;1;5;12;35;29;42;28;19;19;15;10
C16;Stomach;234;-;-;-;-;1;-;1;-;5;7;16;26;24;24;43;45;26;16
C17;Small intestine;41;-;-;-;-;-;-;-;-;-;3;7;4;6;5;6;4;4;2
C18;Colon;811;-;-;1;4;3;-;1;7;9;20;38;78;120;105;123;125;95;82
C19;Rectosigmoid junction;41;-;-;-;-;-;-;-;-;3;-;4;4;6;4;6;4;6;4
C20;Rectum;400;-;-;-;1;1;2;2;3;5;10;32;51;53;66;51;69;35;19
C21;Anus and anal canal;21;-;-;-;-;-;-;-;1;-;2;3;3;3;4;1;1;2;1
C22;Liver and intrahepatic bile ducts;151;1;-;-;-;-;1;-;1;2;6;14;21;32;18;24;20;8;3
C23;Gallbladder;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-
C24;Biliary tract, NOS;47;-;-;-;-;-;-;-;-;-;1;2;6;5;7;9;5;8;4
C25;Pancreas;240;-;-;-;-;-;-;-;2;5;4;21;29;40;43;28;40;21;7
C26;Other ill-defined digestive organs;8;-;-;-;-;-;-;-;-;-;-;2;1;1;2;-;1;-;1
C30;Nasal cavity and middle ear;13;-;-;-;-;-;-;-;-;1;3;-;2;-;1;3;1;1;1
C31;Accessory sinuses;11;-;-;-;-;-;-;-;1;1;-;-;-;3;1;1;1;2;1
C32;Larynx;201;-;-;-;-;1;-;1;-;2;16;24;31;43;24;22;19;10;8
C33;Trachea;2;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-
C34;Bronchus and lung;1868;-;-;-;2;1;1;2;1;25;65;150;250;292;271;297;294;155;62
C37;Thymus;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
C38;Heart, mediastinum and pleura;5;-;-;-;-;-;1;-;-;-;1;-;1;-;1;-;1;-;-
C39;Respiratory system and intrathoracic organs, NOS;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-
C40;Bone and articular cartilage of limbs;11;-;1;2;1;-;-;-;-;2;-;1;-;-;2;-;1;-;1
C41;Bone and articular cartilage, NOS;11;1;-;2;2;1;-;1;-;-;-;-;-;-;2;1;-;1;-
C43;Malignant melanoma of skin;245;-;-;1;1;6;8;5;15;11;23;21;25;31;20;35;16;14;13
C44;Malignant neoplasms of skin;652;-;-;1;-;1;2;2;4;3;7;19;29;49;57;91;141;124;122
C45;Mesothelioma;52;-;-;-;-;-;-;-;1;-;-;1;2;6;9;11;14;5;3
C46;Kaposi's sarcoma;3;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-
C47,C49;Soft tissues;37;2;1;1;-;-;1;1;-;1;1;1;7;2;4;5;6;2;2
C48;Retroperitoneum and peritoneum;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-
C50;Breast;37;-;-;-;-;-;-;-;-;-;2;2;6;3;6;5;4;2;7
C60;Penis;25;-;-;-;-;-;-;-;-;2;2;5;3;2;3;2;1;4;1
C61;Prostate;2373;-;-;-;-;-;-;-;-;2;25;120;258;435;420;422;348;216;127
C62;Testis;107;-;-;1;5;7;12;30;13;14;11;9;2;1;-;-;-;1;1
C63;Male genital organs, NOS;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-
C64;Kidney;298;4;-;-;-;1;1;3;4;16;14;37;37;46;38;35;32;16;14
C65;Renal pelvis;25;-;-;-;-;-;-;-;-;-;-;1;1;2;2;6;7;5;1
C66;Ureter;39;-;-;-;-;-;-;-;-;-;2;-;2;4;4;10;6;7;4
C67;Bladder;534;-;-;-;-;-;-;-;2;4;11;28;41;60;65;86;78;99;60
C68;Urinary organs, NOS;8;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;1;2;-
C69;Eye and adnexa;12;5;-;-;-;-;-;-;-;-;-;-;-;2;3;2;-;-;-
C70;Meninges;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C71;Brain;127;5;2;5;1;6;6;5;5;3;8;7;12;16;12;15;12;4;3
C72;Spinal cord, cranial nerves and CNS, NOS;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
C73;Thyroid gland;122;-;-;-;4;2;4;5;8;14;12;19;16;10;14;5;4;5;-
C74;Adrenal gland;9;2;1;-;-;1;1;-;-;-;1;1;1;-;-;-;1;-;-
C75;Endocrine glands, NOS;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C81;Hodgkin's disease;52;-;2;-;5;6;5;6;3;8;3;3;3;2;1;-;5;-;-
C82-C85;Non-Hodgkin-lymphoma;332;-;1;1;4;2;4;7;6;11;15;20;26;46;40;45;46;41;17
C88;Malignant immunoproliferative diseases;9;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;2;2;1
C90;Multiple myeloma;110;-;-;-;-;-;-;-;-;2;3;4;10;17;15;21;16;14;8
C91;Lymphoid leukaemia;142;11;5;3;3;2;-;1;1;7;7;12;8;16;17;14;13;17;5
C92;Myeloid leukaemia;120;1;1;-;1;3;-;3;2;3;6;4;16;16;17;8;21;13;5
C93;Monocytic leukaemia;3;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-
C94-C95;Leukaemia other;4;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-
C96;Lymphoid, haematopoietic and related tissue, NOS;3;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-
C76;Other and ill-defined sites;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C80;Unknown primary site;195;-;-;-;1;-;-;1;1;1;10;17;24;19;28;28;35;18;12
MPD;Myeloproliferative Disorders;53;-;-;-;-;1;1;-;-;-;6;5;4;8;7;7;8;5;1
MDS;Myelodysplastic syndromes;107;-;-;1;-;-;-;-;-;2;2;4;4;7;4;26;25;20;12
Total;;10699;34;14;19;36;49;50;79;88;189;370;804;1172;1567;1444;1551;1533;1048;652
Total excl. non-melanoma;;10047;34;14;18;36;48;48;77;84;186;363;785;1143;1518;1387;1460;1392;924;530
Total excl. non-melanoma and MDS, MPD;;9887;34;14;17;36;47;47;77;84;184;355;776;1135;1503;1376;1427;1359;899;517
