icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;12;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;2;3;3
C01;Base of tongue;22;-;-;-;-;-;-;-;2;-;1;2;1;4;2;2;1;3;4
C02;Tongue;62;-;-;-;-;-;-;2;1;1;6;4;1;11;10;6;9;2;9
C03;Gum;27;-;-;-;-;-;-;-;-;-;-;1;1;-;5;5;7;3;5
C04;Floor of mouth;37;-;-;-;-;-;-;-;-;-;1;2;9;9;8;4;2;2;-
C05;Palate;26;-;-;-;-;-;-;-;1;-;3;2;5;3;6;2;1;2;1
C06;Mouth, NOS;24;-;-;-;-;-;-;-;1;1;-;2;2;1;-;6;2;5;4
C07;Parotid gland;36;-;-;-;-;1;1;1;1;2;1;6;3;3;7;3;3;3;1
C08;Salivary glands, NOS;4;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;1;-;-
C09;Tonsil;41;-;-;-;-;-;-;-;-;-;-;3;9;7;6;2;6;4;4
C10;Oropharynx;18;-;-;-;-;-;-;-;-;-;-;-;5;5;6;-;1;1;-
C11;Nasopharynx;10;-;-;-;-;-;-;-;2;-;-;1;-;3;2;1;1;-;-
C12;Pyriform sinus;13;-;-;-;-;-;-;-;-;-;-;1;3;1;3;3;1;1;-
C13;Hypopharynx;8;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;1;1;1
C14;Lip, oral cavity and pharynx, NOS;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
C15;Oesophagus;185;-;-;-;-;-;-;-;-;2;4;6;10;16;19;29;45;22;32
C16;Stomach;298;-;-;-;-;-;-;4;3;5;12;13;11;29;21;40;40;54;66
C17;Small intestine;102;-;-;-;-;-;1;1;3;-;2;7;8;10;13;15;12;13;17
C18;Colon;1686;-;1;2;2;6;10;13;9;12;43;97;85;142;174;246;226;284;334
