icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;19;-;-;-;-;-;-;-;-;-;-;-;1;-;5;2;1;7;3
C01;Base of tongue;15;-;-;-;-;-;-;-;-;-;1;3;3;4;2;2;-;-;-
C02;Tongue;70;-;-;-;-;-;3;-;1;5;9;9;8;9;6;6;7;1;6
C03;Gum;29;-;-;-;-;-;-;-;-;2;1;2;8;3;1;3;3;2;4
C04;Floor of mouth;45;-;-;-;-;-;-;1;-;2;4;6;6;7;9;2;5;-;3
C05;Palate;33;-;-;-;2;-;-;3;-;1;3;5;4;4;5;2;3;1;-
C06;Mouth, NOS;44;-;-;-;-;-;-;-;2;2;4;6;3;3;7;4;5;4;4
C07;Parotid gland;35;-;-;-;-;1;-;2;3;1;4;1;2;1;4;6;5;3;2
C08;Salivary glands, NOS;15;-;-;-;1;-;-;1;2;1;-;1;-;-;3;1;2;2;1
C09;Tonsil;57;-;-;-;-;1;-;-;-;1;9;9;5;10;4;7;6;3;2
C10;Oropharynx;26;-;-;-;-;-;-;-;-;1;3;3;5;1;3;5;2;1;2
C11;Nasopharynx;11;-;-;1;-;-;-;1;2;-;1;2;2;1;-;-;-;-;1
C12;Pyriform sinus;16;-;-;-;-;-;-;-;-;-;2;2;6;2;1;1;2;-;-
C13;Hypopharynx;13;-;-;-;-;-;-;-;1;1;3;2;1;1;1;2;1;-;-
C14;Lip, oral cavity and pharynx, NOS;9;-;-;-;-;-;-;-;-;-;-;1;1;1;2;2;-;1;1
C15;Oesophagus;237;-;-;-;-;-;-;-;1;3;7;11;28;17;35;42;40;24;29
C16;Stomach;511;-;-;-;-;1;1;2;10;17;20;15;19;35;40;79;80;99;93
C17;Small intestine;85;-;-;-;-;-;1;1;2;3;4;2;8;12;6;16;13;6;11
C18;Colon;2409;-;-;1;7;5;5;8;15;23;44;91;154;172;248;416;442;456;322
C19;Rectosigmoid junction;241;-;-;-;-;-;-;-;-;6;8;13;20;26;21;41;53;36;17
C20;Rectum;872;-;-;-;-;-;2;2;5;20;26;46;72;82;115;126;141;146;89
C21;Anus and anal canal;74;-;-;-;-;-;-;-;-;2;9;6;11;8;6;5;11;7;9
C22;Liver and intrahepatic bile ducts;116;1;-;-;-;1;1;2;1;3;5;4;12;7;15;22;21;14;7
C23;Gallbladder;72;-;-;-;-;-;-;-;-;-;6;2;4;2;9;6;12;20;11
C24;Biliary tract, NOS;109;-;-;-;-;-;-;1;1;1;5;3;5;8;13;25;20;13;14
