icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;25;-;-;-;-;-;-;-;-;-;-;2;2;6;5;4;2;2;2
C01;Base of tongue;66;-;-;-;-;-;-;-;-;-;4;8;11;13;15;7;3;2;3
C02;Tongue;82;-;-;-;-;-;-;-;2;5;3;13;16;10;15;5;4;5;4
C03;Gum;20;-;-;-;-;-;-;-;-;-;-;3;3;2;2;5;3;1;1
C04;Floor of mouth;93;-;-;-;-;-;-;-;-;2;5;12;28;16;14;9;3;4;-
C05;Palate;36;-;-;-;-;-;1;-;-;2;2;6;5;11;3;4;1;-;1
C06;Mouth, NOS;28;-;-;-;-;1;-;-;1;-;-;2;7;2;8;2;3;-;2
C07;Parotid gland;52;-;-;1;1;1;-;2;1;-;5;1;4;5;5;4;8;9;5
C08;Salivary glands, NOS;11;-;-;-;-;-;-;-;-;1;-;2;2;-;2;1;1;2;-
C09;Tonsil;85;-;-;-;-;-;-;-;-;1;7;12;18;16;13;6;7;3;2
C10;Oropharynx;87;-;-;-;-;-;-;-;1;1;3;12;19;21;13;7;5;3;2
C11;Nasopharynx;22;-;-;-;-;-;-;-;-;2;1;5;4;4;3;3;-;-;-
C12;Pyriform sinus;69;-;-;-;-;-;-;-;-;1;3;12;11;20;8;5;4;4;1
C13;Hypopharynx;50;-;-;-;-;-;-;-;-;-;2;8;14;9;8;1;3;5;-
C14;Lip, oral cavity and pharynx, NOS;2;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-
C15;Oesophagus;425;-;-;-;-;-;1;-;-;6;11;32;56;69;81;59;42;40;28
C16;Stomach;605;-;-;-;1;-;2;4;3;12;21;31;47;55;82;94;94;89;70
C17;Small intestine;98;-;-;-;-;-;-;-;2;4;9;9;8;9;18;11;12;9;7
C18;Colon;1998;-;-;2;4;8;6;5;10;21;42;85;118;227;293;333;313;330;201
C19;Rectosigmoid junction;90;-;-;-;-;-;-;-;1;-;1;3;4;15;11;15;12;21;7
C20;Rectum;963;-;-;-;-;1;-;3;5;14;30;50;96;118;153;158;134;127;74
