icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;9;-;-;-;-;-;-;-;-;-;-;-;3;1;2;-;1;2;-
C01;Base of tongue;53;-;-;-;-;-;-;-;-;2;4;6;6;11;8;10;3;2;1
C02;Tongue;74;-;-;-;-;-;-;-;2;-;3;8;8;13;20;11;7;2;-
C03;Gum;11;-;-;-;-;-;-;-;-;-;-;-;-;3;2;1;1;4;-
C04;Floor of mouth;50;-;-;-;-;-;-;-;-;-;6;3;13;12;11;2;1;-;2
C05;Palate;27;-;-;-;-;-;-;-;-;-;-;4;3;5;9;4;1;1;-
C06;Mouth, NOS;24;-;-;-;-;1;-;-;-;-;-;2;6;3;3;5;1;2;1
C07;Parotid gland;24;-;-;-;-;-;-;-;-;1;-;3;1;3;2;3;1;4;6
C08;Salivary glands, NOS;6;-;-;-;-;-;-;-;-;1;-;1;-;-;2;-;1;-;1
C09;Tonsil;78;-;-;-;-;-;-;-;1;1;5;11;16;18;15;4;4;2;1
C10;Oropharynx;64;-;-;-;-;-;-;-;-;-;2;1;11;17;14;9;7;3;-
C11;Nasopharynx;13;-;-;-;-;-;-;-;2;2;1;1;1;2;-;3;1;-;-
C12;Pyriform sinus;54;-;-;-;-;-;-;-;-;-;1;3;7;12;16;6;6;2;1
C13;Hypopharynx;25;-;-;-;-;1;-;-;-;-;-;1;3;11;3;3;2;1;-
C14;Lip, oral cavity and pharynx, NOS;9;-;-;-;-;-;-;-;-;-;-;-;3;-;3;3;-;-;-
C15;Oesophagus;244;-;-;-;-;-;-;-;1;2;9;14;29;38;41;48;32;18;12
C16;Stomach;277;-;-;-;-;-;-;3;2;5;8;8;24;41;47;46;40;31;22
C17;Small intestine;73;-;-;-;-;-;-;-;-;2;6;4;2;15;15;12;7;5;5
C18;Colon;988;-;1;3;-;1;2;7;8;16;20;48;67;121;161;175;134;107;117
C19;Rectosigmoid junction;31;-;-;-;-;-;-;-;-;1;-;2;3;3;5;7;4;2;4
C20;Rectum;449;-;-;-;-;1;-;9;2;3;11;23;44;61;91;89;60;33;22
C21;Anus and anal canal;29;-;-;-;-;-;-;-;-;-;1;1;2;7;3;6;4;4;1
C22;Liver and intrahepatic bile ducts;335;1;-;-;2;-;-;-;1;2;4;10;21;55;72;78;43;33;13
C23;Gallbladder;10;-;-;-;-;-;-;-;-;1;-;-;3;1;1;1;1;1;1
C24;Biliary tract, NOS;84;-;-;-;-;1;-;-;-;-;1;2;13;9;13;16;10;11;8
C25;Pancreas;402;-;-;-;-;-;2;2;2;7;8;15;38;62;62;80;55;44;25
C26;Other ill-defined digestive organs;5;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2;-;-;1
C30;Nasal cavity and middle ear;11;-;-;-;-;1;-;-;-;-;2;1;1;1;2;2;-;-;1
C31;Accessory sinuses;12;-;-;-;-;-;-;1;-;2;-;-;2;-;2;2;1;1;1
C32;Larynx;162;-;-;-;-;-;-;-;2;2;3;17;18;24;34;38;15;3;6
C33;Trachea;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-
C34;Bronchus and lung;1923;-;-;-;-;-;-;2;10;8;42;85;179;291;384;363;259;197;103
C37;Thymus;25;-;-;-;-;-;-;1;2;1;2;-;2;3;4;5;3;2;-
C38;Heart, mediastinum and pleura;7;-;-;-;-;-;-;-;1;2;-;2;1;1;-;-;-;-;-
C39;Respiratory system and intrathoracic organs, NOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C40;Bone and articular cartilage of limbs;11;-;-;2;3;-;-;-;1;-;-;1;-;2;1;1;-;-;-
C41;Bone and articular cartilage, NOS;19;-;1;-;1;1;-;3;2;-;1;-;1;1;2;-;3;1;2
