icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;6;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;2;1;-
C01;Base of tongue;31;-;-;-;-;-;-;-;-;-;2;4;7;6;6;4;2;-;-
C02;Tongue;55;-;-;-;-;-;1;1;1;5;2;6;10;14;4;4;3;3;1
C03;Gum;12;-;-;-;-;1;-;-;1;-;-;-;3;2;2;2;-;1;-
C04;Floor of mouth;66;-;-;-;-;-;-;1;1;1;6;10;19;11;9;3;3;1;1
C05;Palate;25;-;-;-;-;-;-;-;-;1;2;1;9;3;4;4;-;-;1
C06;Mouth, NOS;24;-;-;-;-;-;-;-;-;-;3;6;1;8;1;2;-;1;2
C07;Parotid gland;26;-;-;-;-;-;-;3;-;-;2;1;2;4;2;4;3;2;3
C08;Salivary glands, NOS;5;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;1;-
C09;Tonsil;54;-;-;-;-;-;-;-;-;2;6;6;12;10;9;4;4;-;1
C10;Oropharynx;47;-;-;-;-;-;-;-;-;-;4;6;12;12;5;5;2;1;-
C11;Nasopharynx;13;-;-;-;-;-;-;2;-;1;1;3;3;1;1;-;-;-;1
C12;Pyriform sinus;59;-;-;-;-;-;-;-;-;-;3;14;11;19;5;4;1;2;-
C13;Hypopharynx;23;-;-;-;-;-;-;1;-;-;2;5;4;5;2;-;2;1;1
C14;Lip, oral cavity and pharynx, NOS;10;-;-;-;-;-;-;-;-;-;-;-;3;2;1;3;-;1;-
C15;Oesophagus;231;-;-;-;-;-;-;-;-;-;9;35;35;41;25;27;26;21;12
C16;Stomach;234;-;-;-;-;-;-;2;3;3;8;19;21;28;30;36;35;31;18
C17;Small intestine;34;-;-;-;-;-;-;-;-;1;2;3;7;6;4;5;4;2;-
C18;Colon;854;-;-;-;2;1;2;2;5;14;17;61;80;84;105;155;137;124;65
C19;Rectosigmoid junction;50;-;-;-;-;-;-;-;-;-;2;-;4;8;10;6;9;7;4
C20;Rectum;404;-;-;-;-;-;1;-;4;9;15;27;48;66;53;55;51;49;26
C21;Anus and anal canal;19;-;-;-;-;-;-;-;-;-;1;3;4;1;4;2;2;-;2
C22;Liver and intrahepatic bile ducts;173;1;-;-;-;-;2;1;2;-;1;12;23;31;28;28;29;11;4
C23;Gallbladder;10;-;-;-;-;-;-;-;-;-;1;-;1;-;1;2;1;3;1
C24;Biliary tract, NOS;47;-;-;-;-;-;-;-;-;1;2;1;5;6;5;9;5;6;7
C25;Pancreas;274;-;-;-;-;1;1;1;3;2;12;7;22;49;45;37;45;36;13
C26;Other ill-defined digestive organs;9;-;-;-;-;-;-;-;-;-;-;-;2;-;2;-;4;-;1
C30;Nasal cavity and middle ear;6;-;-;-;-;-;-;-;-;-;-;1;-;2;1;1;-;1;-
C31;Accessory sinuses;14;-;-;-;-;-;-;-;1;2;-;2;3;1;2;1;1;-;1
C32;Larynx;195;-;-;-;-;-;-;-;-;2;18;18;40;37;23;25;20;7;5
C33;Trachea;4;-;-;-;-;-;-;-;-;-;-;1;2;1;-;-;-;-;-
C34;Bronchus and lung;1818;-;-;-;-;1;2;3;1;17;46;131;225;306;250;298;277;193;68
C37;Thymus;12;-;-;1;-;-;-;-;-;-;-;4;3;-;1;-;2;1;-
C38;Heart, mediastinum and pleura;5;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;1;1;-
C39;Respiratory system and intrathoracic organs, NOS;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-
C40;Bone and articular cartilage of limbs;6;-;-;4;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-
C41;Bone and articular cartilage, NOS;11;-;-;1;1;-;2;2;-;1;-;-;1;2;-;-;-;1;-
C43;Malignant melanoma of skin;323;-;-;1;3;8;13;13;21;25;27;27;32;32;28;36;29;17;11
C44;Malignant neoplasms of skin;692;-;-;-;-;1;-;3;2;6;7;18;38;55;71;113;122;125;131
C45;Mesothelioma;52;-;-;-;-;-;-;-;-;1;2;2;3;4;9;9;10;8;4
C46;Kaposi's sarcoma;6;-;-;-;-;-;-;-;1;-;1;2;-;1;-;-;1;-;-
C47,C49;Soft tissues;49;2;2;-;1;1;1;-;4;2;1;-;7;9;7;9;-;1;2
C48;Retroperitoneum and peritoneum;6;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;1;-;-
C50;Breast;27;-;-;-;-;-;-;-;-;1;2;3;2;3;1;6;5;2;2
C60;Penis;27;-;-;-;-;-;-;-;2;-;1;2;3;2;5;3;5;2;2
C61;Prostate;2486;-;-;-;-;-;-;-;1;5;22;119;271;443;468;442;399;200;116
C62;Testis;121;-;-;-;4;9;26;28;13;16;7;5;7;1;1;1;1;2;-
C63;Male genital organs, NOS;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-
C64;Kidney;255;1;-;-;-;-;-;-;11;6;11;23;31;41;41;41;23;22;4
C65;Renal pelvis;43;-;-;-;-;-;-;-;-;-;1;2;4;9;5;8;10;4;-
C66;Ureter;25;-;-;-;-;-;-;-;-;-;-;-;2;5;4;3;8;1;2
C67;Bladder;536;-;-;-;-;-;-;2;1;4;5;16;42;71;68;92;93;84;58
C68;Urinary organs, NOS;14;-;-;-;-;-;-;-;-;-;-;-;-;1;3;3;5;-;2
