icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;21;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;5;4;8
C01;Base of tongue;57;-;-;-;-;-;-;-;-;-;1;9;9;8;13;8;7;1;1
C02;Tongue;112;-;-;-;-;-;1;1;1;3;6;11;24;14;17;10;8;7;9
C03;Gum;43;-;-;1;-;1;-;-;-;-;-;-;2;4;9;3;6;9;8
C04;Floor of mouth;50;-;-;-;-;-;-;-;-;1;1;4;4;18;7;7;6;1;1
C05;Palate;43;-;-;-;1;1;-;-;-;-;3;2;3;10;8;7;2;2;4
C06;Mouth, NOS;50;-;-;-;-;-;-;-;-;-;-;4;2;7;8;6;8;9;6
C07;Parotid gland;37;-;-;1;1;1;2;1;1;2;2;2;2;3;2;7;5;2;3
C08;Salivary glands, NOS;6;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;1;-;-
C09;Tonsil;96;-;-;-;1;-;-;-;-;1;2;4;21;21;18;7;7;9;5
C10;Oropharynx;38;-;-;-;-;-;-;-;-;1;2;2;6;10;7;3;5;-;2
C11;Nasopharynx;21;-;-;-;-;-;1;2;2;1;1;5;-;2;1;2;1;2;1
C12;Pyriform sinus;24;-;-;-;-;-;-;-;-;-;-;1;4;5;4;5;2;1;2
C13;Hypopharynx;18;-;-;-;-;-;-;-;-;-;-;1;7;2;2;4;1;1;-
C14;Lip, oral cavity and pharynx, NOS;5;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;-;-;1
C15;Oesophagus;298;-;-;-;-;-;-;-;-;2;4;13;29;44;41;50;38;42;35
C16;Stomach;550;-;-;-;-;1;1;4;10;10;22;29;50;49;64;69;63;74;104
C17;Small intestine;152;-;-;-;-;-;-;2;3;7;6;8;11;22;18;25;15;17;18
C18;Colon;2711;-;1;3;2;8;14;25;22;28;63;125;166;223;282;387;343;467;552
C19;Rectosigmoid junction;52;-;-;-;-;-;1;-;-;1;-;9;3;5;6;4;8;9;6
C20;Rectum;809;-;-;-;1;3;3;6;6;12;23;62;68;89;92;102;92;133;117
C21;Anus and anal canal;125;-;-;-;-;-;1;-;1;6;10;8;17;22;22;11;8;8;11
C22;Liver and intrahepatic bile ducts;322;3;-;1;-;-;-;1;3;7;11;15;24;35;44;55;43;48;32
C23;Gallbladder;74;-;-;-;-;-;-;-;-;1;1;1;5;3;13;14;13;12;11
C24;Biliary tract, NOS;168;-;-;-;-;-;-;-;1;1;3;3;15;11;19;24;27;31;33
C25;Pancreas;982;-;-;-;-;1;-;7;4;15;24;57;61;108;120;156;154;128;147
C26;Other ill-defined digestive organs;10;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;1;1;3
C30;Nasal cavity and middle ear;17;-;-;-;-;-;-;-;1;1;2;1;5;-;3;2;1;1;-
C31;Accessory sinuses;21;-;-;-;-;-;1;2;-;-;1;-;2;-;3;4;2;3;3
C32;Larynx;93;-;-;-;-;-;-;-;-;1;5;7;12;13;20;9;14;4;8
C33;Trachea;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1
C34;Bronchus and lung;3089;1;-;-;-;-;6;4;15;35;72;179;329;516;595;534;370;239;194
C37;Thymus;33;-;-;-;-;2;-;1;3;2;2;2;4;4;4;6;3;-;-
C38;Heart, mediastinum and pleura;5;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;2
C39;Respiratory system and intrathoracic organs, NOS;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-
C40;Bone and articular cartilage of limbs;20;-;-;3;2;1;1;2;1;3;1;1;1;2;1;-;-;1;-
C41;Bone and articular cartilage, NOS;29;-;-;2;1;3;2;-;-;2;3;2;2;3;3;1;1;2;2
C43;Malignant melanoma of skin;1949;-;-;-;6;35;45;84;114;150;193;248;191;163;184;166;137;115;118
C44;Malignant neoplasms of skin;3502;-;1;-;-;1;1;8;12;23;55;86;132;198;270;414;499;658;1144
C45;Mesothelioma;62;-;-;-;-;-;-;-;-;-;3;3;4;8;6;8;12;8;10
C46;Kaposi's sarcoma;8;-;-;-;-;-;-;-;-;2;-;-;2;1;-;1;-;1;1
C47,C49;Soft tissues;153;8;3;1;3;1;2;3;1;5;10;10;13;20;13;19;13;13;15
C48;Retroperitoneum and peritoneum;46;1;-;-;1;1;-;-;3;2;1;4;2;1;4;7;7;7;5
C50;Breast;10905;-;-;-;-;5;49;134;317;549;905;1193;1220;1358;1373;1185;948;835;834
C51;Vulva;246;-;-;-;-;-;-;2;4;7;11;12;21;22;23;32;26;33;53
C52;Vagina;43;-;-;-;-;-;-;1;-;1;1;5;6;1;7;3;4;5;9
C53;Cervix uteri;634;-;-;-;-;2;15;36;49;69;85;69;75;58;63;25;35;24;29
C54;Corpus uteri;1429;-;-;-;-;-;1;4;7;13;42;58;133;193;222;269;176;198;113
C55;Uterus;12;-;-;-;-;-;-;-;-;1;1;-;1;-;2;-;1;2;4
