icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;24.0;-;-;-;-;-;-;-;-;-;3;-;3;5;4;2;3;2;2
C01;Base of tongue;126.0;-;-;-;-;-;-;-;-;-;10;14;22;30;21;12;12;2;3
C02;Tongue;162.0;-;-;-;1;-;1;-;4;7;18;20;32;29;21;14;11;2;2
C03;Gum;43.0;-;-;-;-;-;-;-;-;-;3;2;8;14;3;3;4;2;4
C04;Floor of mouth;152.0;-;-;-;-;-;-;-;-;6;8;25;40;22;25;13;9;3;1
C05;Palate;66.0;-;-;-;-;-;-;-;2;-;5;11;8;19;6;9;3;2;1
C06;Mouth, NOS;61.0;-;-;-;-;-;-;-;-;2;5;8;12;7;13;5;1;4;4
C07;Parotid gland;80.0;-;-;-;-;-;-;2;1;3;2;6;10;5;9;8;21;3;10
C08;Salivary glands, NOS;18.0;-;-;-;-;-;-;-;1;2;-;2;2;-;2;1;4;2;2
C09;Tonsil;174.0;-;-;-;-;-;-;1;3;6;15;25;29;29;27;17;14;5;3
C10;Oropharynx;145.0;-;-;-;-;-;-;-;1;2;9;14;36;30;25;13;8;3;4
C11;Nasopharynx;58.0;-;-;1;2;-;2;1;2;2;12;5;7;7;7;4;1;3;2
C12;Pyriform sinus;148.0;-;-;-;-;-;-;-;-;2;8;18;37;32;23;17;7;1;3
C13;Hypopharynx;81.0;-;-;-;-;-;-;-;-;1;6;11;18;19;13;6;2;2;3
C14;Lip, oral cavity and pharynx, NOS;13.0;-;-;-;-;-;-;-;-;-;-;1;3;4;2;1;1;1;-
C15;Oesophagus;724.0;-;-;-;-;1;-;-;3;9;25;62;102;139;136;83;79;55;30
C16;Stomach;936.0;-;-;-;-;1;2;6;12;19;36;51;81;115;118;147;119;122;107
C17;Small intestine;175.0;-;-;1;-;-;1;3;1;5;5;21;15;23;27;22;18;23;10
C18;Colon;3075.0;-;-;3;5;5;9;16;17;30;63;118;207;361;459;479;530;455;318
C19;Rectosigmoid junction;168.0;-;-;-;-;-;-;-;1;2;2;7;8;21;31;33;32;21;10
C20;Rectum;1494.0;-;-;-;-;1;1;4;7;18;56;94;140;198;236;217;238;169;115
C21;Anus and anal canal;71.0;-;-;-;-;1;-;-;-;3;11;6;9;10;11;6;7;2;5
C22;Liver and intrahepatic bile ducts;600.0;1;-;-;-;2;1;6;9;9;14;30;81;92;106;70;93;65;21
C23;Gallbladder;36.0;-;-;-;-;-;-;-;1;-;1;1;2;5;2;7;9;7;1
C24;Biliary tract, NOS;150.0;-;-;-;-;-;-;-;-;2;4;9;11;20;20;25;24;23;12
C25;Pancreas;811.0;-;-;-;1;-;1;3;3;14;26;56;64;136;131;124;105;95;52
C26;Other ill-defined digestive organs;25.0;-;-;-;-;-;-;-;-;1;-;3;2;1;4;3;6;4;1
