icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;10.0;-;-;-;-;-;-;-;-;-;1;-;2;1;1;2;2;1;-
C01;Base of tongue;40.0;-;-;-;-;-;-;-;1;3;5;7;2;9;1;6;3;1;2
C02;Tongue;51.0;-;-;-;-;-;-;-;1;2;3;4;15;8;5;9;4;-;-
C03;Gum;10.0;-;-;-;-;-;-;-;-;1;-;2;2;-;-;3;1;1;-
C04;Floor of mouth;67.0;-;-;-;-;-;-;-;-;2;5;13;15;14;11;4;2;1;-
C05;Palate;32.0;-;-;-;-;-;-;-;-;-;-;7;9;10;3;2;1;-;-
C06;Mouth, NOS;18.0;-;-;-;-;-;-;-;-;-;2;3;5;6;1;-;-;1;-
C07;Parotid gland;18.0;-;-;-;1;-;-;-;-;1;-;4;3;1;-;3;3;1;1
C08;Salivary glands, NOS;2.0;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-
C09;Tonsil;65.0;-;-;-;-;-;-;-;-;1;11;9;16;16;6;3;3;-;-
C10;Oropharynx;51.0;-;-;-;-;-;-;-;1;-;4;12;6;16;5;4;2;-;1
C11;Nasopharynx;16.0;-;-;1;-;-;-;1;1;1;2;1;3;1;2;2;1;-;-
C12;Pyriform sinus;72.0;-;-;-;-;-;-;-;-;-;5;14;15;18;8;7;4;1;-
C13;Hypopharynx;26.0;-;-;-;-;-;-;-;-;2;3;8;3;5;3;1;1;-;-
C14;Lip, oral cavity and pharynx, NOS;17.0;-;-;-;-;-;-;-;-;1;2;3;6;3;1;-;1;-;-
C15;Oesophagus;285.0;-;-;-;-;-;-;-;1;4;10;30;49;50;44;33;33;18;13
C16;Stomach;303.0;-;-;-;-;-;-;-;1;7;6;19;32;47;36;41;48;39;27
C17;Small intestine;69.0;-;-;-;-;-;-;-;3;5;4;3;9;8;6;11;6;6;8
C18;Colon;892.0;-;-;1;2;3;2;3;5;10;18;36;70;122;111;145;160;135;69
C19;Rectosigmoid junction;45.0;-;-;-;-;-;-;-;-;-;2;3;3;5;7;9;8;4;4
C20;Rectum;408.0;-;-;-;-;-;-;-;2;8;13;21;51;75;68;56;56;39;19
C21;Anus and anal canal;32.0;-;-;-;-;-;-;-;-;-;4;3;2;7;5;1;6;1;3
C22;Liver and intrahepatic bile ducts;208.0;2;-;1;-;-;-;-;2;5;7;11;24;37;36;32;26;21;4
C23;Gallbladder;11.0;-;-;-;-;-;-;-;-;-;-;-;1;2;2;3;1;1;1
C24;Biliary tract, NOS;49.0;-;-;-;-;-;-;-;-;1;-;3;5;9;9;5;9;3;5
C25;Pancreas;285.0;-;-;-;-;-;1;1;1;6;5;10;36;37;46;48;39;36;19
C26;Other ill-defined digestive organs;12.0;-;-;-;-;-;-;-;-;-;-;1;-;3;1;2;2;2;1
C30;Nasal cavity and middle ear;12.0;-;-;-;-;-;-;-;-;-;2;2;1;1;1;-;2;-;3
C31;Accessory sinuses;19.0;-;-;-;-;-;-;-;1;-;-;5;2;2;2;3;1;3;-
C32;Larynx;232.0;-;-;-;-;-;-;-;4;5;7;29;41;49;38;18;15;19;7
C33;Trachea;4.0;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;1;-;-
C34;Bronchus and lung;1874.0;-;-;-;1;1;-;3;2;17;41;119;233;297;293;290;299;176;102
C37;Thymus;2.0;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-
C38;Heart, mediastinum and pleura;6.0;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;2;-
C39;Respiratory system and intrathoracic organs, NOS;1.0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-
C40;Bone and articular cartilage of limbs;9.0;-;2;1;-;1;-;2;1;-;-;1;-;-;-;-;1;-;-
C41;Bone and articular cartilage, NOS;12.0;-;1;-;-;-;-;1;2;-;2;-;1;1;2;1;1;-;-
C43;Malignant melanoma of skin;311.0;1;-;-;2;6;4;10;17;15;29;21;37;42;30;23;35;19;20
C44;Malignant neoplasms of skin;840.0;-;-;-;-;1;3;3;3;4;14;23;33;65;84;127;168;165;147
C45;Mesothelioma;51.0;-;-;-;-;-;-;-;-;-;-;4;8;7;4;7;6;9;6
C46;Kaposi's sarcoma;6.0;-;-;-;-;-;1;-;-;1;-;1;1;-;-;-;1;1;-
C47,C49;Soft tissues;61.0;5;2;-;1;1;-;1;2;1;9;3;9;8;4;5;2;3;5
C48;Retroperitoneum and peritoneum;6.0;-;-;-;-;-;-;1;-;-;1;-;1;1;-;-;1;-;1
C50;Breast;22.0;-;-;-;-;-;-;-;1;1;2;1;6;2;1;4;-;3;1
C60;Penis;32.0;-;-;-;-;-;-;-;-;-;2;1;4;6;3;2;2;6;6
C61;Prostate;2559.0;-;-;-;-;-;-;-;1;4;28;138;271;477;467;478;352;225;118
C62;Testis;154.0;-;-;-;4;24;22;29;28;18;13;5;2;6;-;2;-;1;-
C63;Male genital organs, NOS;2.0;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
C64;Kidney;274.0;5;-;1;-;-;-;2;5;18;18;24;20;45;39;37;34;15;11
C65;Renal pelvis;42.0;-;-;-;-;-;-;1;-;-;2;1;6;7;4;8;9;2;2
C66;Ureter;42.0;-;-;-;-;-;-;-;-;-;-;2;6;7;6;6;5;10;-
C67;Bladder;571.0;-;-;-;-;-;-;-;-;4;9;25;51;70;83;95;102;87;45
C68;Urinary organs, NOS;16.0;-;-;-;-;-;-;-;-;-;-;-;2;-;1;2;4;5;2
C69;Eye and adnexa;10.0;-;-;-;-;-;-;1;-;1;2;-;-;1;-;1;3;1;-
C70;Meninges;3.0;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-
C71;Brain;148.0;6;3;3;-;3;3;2;9;14;10;14;18;14;15;17;11;4;2
C72;Spinal cord, cranial nerves and CNS, NOS;3.0;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-
C73;Thyroid gland;78.0;-;-;-;1;-;-;9;8;9;10;7;11;10;5;5;1;2;-
C74;Adrenal gland;10.0;2;-;1;-;-;-;-;-;1;-;1;2;1;1;-;1;-;-
C75;Endocrine glands, NOS;3.0;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-
C81;Hodgkin's disease;69.0;-;-;2;6;12;4;4;9;7;2;4;5;4;3;3;2;2;-
C82-C86;Non-Hodgkin-lymphoma;343.0;1;4;3;4;-;6;6;8;11;19;20;25;49;44;41;50;35;17
C88;Malignant immunoproliferative diseases;42.0;-;-;-;-;-;-;1;-;1;4;3;2;4;7;5;6;7;2
C90;Multiple myeloma;148.0;-;-;-;-;-;-;1;1;3;10;6;14;15;25;16;27;22;8
C91;Lymphoid leukaemia;122.0;6;2;1;1;-;4;1;-;1;2;10;12;19;11;13;20;7;12
C92;Myeloid leukaemia;86.0;-;-;1;-;1;2;1;1;5;5;6;6;14;10;11;10;10;3
C93;Monocytic leukaemia;38.0;2;1;2;-;-;-;2;1;1;-;-;2;5;2;5;7;6;2
C94-C95;Leukaemia other;13.0;-;-;-;-;-;-;-;-;1;1;1;2;1;1;3;1;1;1
C96;Lymphoid, haematopoietic and related tissue, NOS;3.0;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C76;Other and ill-defined sites;1.0;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-
C80;Unknown primary site;158.0;1;-;-;-;-;-;-;2;5;7;8;23;24;16;13;20;26;13
MPD;Myeloproliferative Disorders;95.0;-;-;-;-;2;1;1;-;1;8;7;11;13;11;14;8;11;7
MDS;Myelodysplastic syndromes;133.0;1;-;-;-;1;-;-;-;1;1;2;10;11;17;15;28;26;20
Total;;11760.0;34;16;20;23;56;55;87;126;212;374;724;1267;1791;1648;1703;1660;1223;741
Total excl. non-melanoma;;10920.0;34;16;20;23;55;52;84;123;208;360;701;1234;1726;1564;1576;1492;1058;594
Total excl. non-melanoma and MDS, MPD;;10692.0;33;16;20;23;52;51;83;123;206;351;692;1213;1702;1536;1547;1456;1021;567
ICD10 - Version 2010;;;;;;;;;;;;;;;;;;;;
