icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;26;-;-;-;-;-;-;-;-;-;-;3;1;7;4;3;3;5;-
C01;Base of tongue;69;-;-;-;-;-;-;-;-;1;4;5;11;18;14;9;6;1;-
C02;Tongue;98;-;-;-;-;-;-;1;2;2;6;10;14;15;16;10;9;8;5
C03;Gum;22;-;-;-;-;-;-;-;-;-;-;1;3;3;5;1;1;3;5
C04;Floor of mouth;98;-;-;-;-;-;-;-;-;-;11;15;19;17;17;11;7;1;-
C05;Palate;34;-;-;-;-;-;-;-;-;2;-;7;7;7;2;3;1;3;2
C06;Mouth, NOS;32;-;-;-;-;-;-;-;-;-;-;6;9;5;6;1;1;3;1
C07;Parotid gland;30;-;-;-;-;1;-;1;1;1;1;4;2;1;3;4;5;4;2
C08;Salivary glands, NOS;5;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;1;1
C09;Tonsil;90;-;-;-;-;-;-;-;1;-;9;10;17;18;12;8;6;6;3
C10;Oropharynx;64;-;-;-;-;-;-;-;-;-;2;4;18;18;9;5;5;3;-
C11;Nasopharynx;25;-;-;-;-;-;-;4;2;1;3;-;3;2;5;2;1;1;1
C12;Pyriform sinus;80;-;-;-;-;-;-;-;-;2;2;10;15;18;14;8;4;3;4
C13;Hypopharynx;44;-;-;-;-;-;-;-;-;-;-;2;9;7;12;9;4;1;-
C14;Lip, oral cavity and pharynx, NOS;7;-;-;-;-;-;-;-;-;-;-;-;1;2;3;-;1;-;-
C15;Oesophagus;444;-;-;-;-;-;-;-;1;3;13;33;49;72;86;58;63;48;18
C16;Stomach;541;-;-;-;-;1;-;3;3;7;22;35;58;49;71;82;78;70;62
C17;Small intestine;95;-;-;-;1;-;-;-;2;2;5;9;9;9;17;10;11;12;8
C18;Colon;2277;-;1;1;1;5;5;2;14;22;40;71;182;339;361;334;335;323;241
C19;Rectosigmoid junction;43;-;-;-;-;-;-;-;-;-;1;5;5;1;6;5;14;4;2
C20;Rectum;949;-;-;-;-;-;-;-;4;10;26;35;91;191;144;114;123;115;96
C21;Anus and anal canal;35;-;-;-;-;1;-;-;-;1;2;3;4;4;9;2;2;3;4
C22;Liver and intrahepatic bile ducts;325;1;-;-;-;-;-;2;3;3;6;12;30;48;64;65;48;27;16
C23;Gallbladder;15;-;-;-;-;-;-;-;-;1;-;1;1;1;2;3;3;2;1
C24;Biliary tract, NOS;110;-;-;-;-;-;-;-;-;1;3;7;8;12;19;17;16;19;8
C25;Pancreas;512;-;-;-;-;-;2;1;3;7;11;26;40;76;89;78;69;71;39
C26;Other ill-defined digestive organs;3;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-
C30;Nasal cavity and middle ear;23;-;-;-;-;-;-;-;-;-;-;5;1;2;5;2;3;3;2
C31;Accessory sinuses;44;-;-;-;-;-;3;-;-;-;2;3;2;7;10;7;5;3;2
C32;Larynx;273;-;-;-;-;-;-;-;-;2;5;22;31;60;51;32;31;24;15
C33;Trachea;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-
C34;Bronchus and lung;3374;-;1;1;-;-;1;1;6;17;48;132;279;476;625;557;558;456;216
C37;Thymus;18;-;-;-;-;-;-;-;2;1;2;2;4;2;-;2;2;1;-
C38;Heart, mediastinum and pleura;9;1;-;-;-;1;-;-;2;-;-;1;-;-;-;2;-;1;1
C39;Respiratory system and intrathoracic organs, NOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C40;Bone and articular cartilage of limbs;26;-;-;3;5;5;2;-;-;1;-;-;3;1;1;2;2;-;1
C41;Bone and articular cartilage, NOS;19;-;-;2;1;-;2;1;1;1;1;1;1;1;2;-;5;-;-
C43;Malignant melanoma of skin;722;-;-;-;1;4;9;19;21;34;62;79;76;88;89;87;68;58;27
C44;Malignant neoplasms of skin;2745;-;-;-;-;-;3;4;12;6;24;48;88;151;241;347;516;609;696
C45;Mesothelioma;160;-;-;-;-;1;-;-;-;1;-;4;11;15;26;35;30;24;13
C46;Kaposi's sarcoma;12;-;-;-;-;-;1;-;-;2;2;-;2;2;1;1;1;-;-
C47,C49;Soft tissues;114;1;-;2;-;-;1;5;3;4;4;8;11;10;12;10;17;13;13
C48;Retroperitoneum and peritoneum;15;1;-;-;-;-;-;-;2;1;-;-;2;2;4;2;-;1;-
C50;Breast;60;-;-;-;-;1;-;-;-;-;1;-;4;13;6;9;13;5;8
C60;Penis;49;-;-;-;-;-;-;-;-;1;1;1;1;2;14;6;9;5;9
C61;Prostate;5413;-;-;-;1;-;-;-;-;10;48;219;497;766;1115;999;877;574;307
C62;Testis;213;1;-;1;9;19;44;55;39;16;13;2;4;3;-;3;1;1;2
C63;Male genital organs, NOS;7;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;2;1;1
C64;Kidney;703;-;-;-;-;-;2;4;6;21;25;52;76;104;111;103;87;70;42
C65;Renal pelvis;115;-;-;-;-;-;-;-;-;-;2;2;6;12;13;18;22;22;18
C66;Ureter;57;-;-;-;-;1;-;-;-;-;-;1;-;4;6;12;13;14;6
C67;Bladder;1104;-;-;-;-;-;-;-;-;8;9;18;50;109;140;188;222;197;163
C68;Urinary organs, NOS;40;-;-;-;-;-;-;-;-;-;1;-;3;2;2;8;12;9;3
C69;Eye and adnexa;41;2;-;-;-;-;-;-;-;1;2;3;3;4;6;5;8;5;2
C70;Meninges;6;-;-;-;-;-;-;-;-;1;-;1;1;-;-;3;-;-;-
