icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;40;-;-;-;-;-;-;-;1;-;2;4;3;4;11;4;9;2;-
C01;Base of tongue;26;-;-;-;-;-;-;-;-;1;2;8;3;4;6;-;1;1;-
C02;Tongue;82;-;-;-;-;-;-;-;-;8;7;13;19;10;5;10;4;5;1
C03;Gum;15;-;-;-;-;-;-;-;1;1;1;-;1;3;1;1;3;3;-
C04;Floor of mouth;76;-;-;-;-;-;-;-;-;3;5;22;14;14;8;6;2;1;1
C05;Palate;29;-;-;-;-;-;-;-;-;2;1;2;6;7;2;5;3;1;-
C06;Mouth, NOS;53;-;-;-;-;-;-;-;-;-;7;4;13;11;6;5;5;2;-
C07;Parotid gland;25;-;-;-;-;-;1;-;-;-;1;-;4;4;4;4;1;3;3
C08;Salivary glands, NOS;7;-;-;-;-;-;-;-;-;-;-;1;1;1;2;2;-;-;-
C09;Tonsil;88;-;-;-;-;-;-;-;1;2;11;10;12;14;12;15;7;3;1
C10;Oropharynx;39;-;-;-;-;-;-;-;-;2;6;9;7;2;7;2;2;1;1
C11;Nasopharynx;22;-;-;-;1;1;-;-;3;1;1;2;1;4;1;3;3;-;1
C12;Pyriform sinus;57;-;-;-;-;-;-;-;-;-;5;9;12;9;7;7;5;2;1
C13;Hypopharynx;37;-;-;-;-;-;-;-;-;1;2;15;7;4;3;2;1;1;1
C14;Lip, oral cavity and pharynx, NOS;8;-;-;-;-;-;-;-;-;-;-;2;-;2;2;1;1;-;-
C15;Oesophagus;427;-;-;-;-;-;1;1;1;2;19;43;57;59;73;61;62;31;17
C16;Stomach;501;-;-;-;-;-;1;-;3;10;10;18;35;47;81;79;83;84;50
C17;Small intestine;72;-;-;-;-;2;-;2;1;1;2;5;6;8;9;16;11;4;5
C18;Colon;1751;-;1;1;4;4;7;7;10;18;41;79;119;173;228;327;355;249;128
C19;Rectosigmoid junction;102;-;-;-;-;-;-;-;-;2;3;5;14;5;20;19;14;16;4
C20;Rectum;886;-;-;-;-;-;1;-;5;13;33;53;68;128;134;152;136;108;55
C21;Anus and anal canal;25;-;-;-;-;-;-;1;1;-;1;1;2;1;5;10;-;3;-
C22;Liver and intrahepatic bile ducts;163;-;-;-;-;-;2;2;2;2;6;8;15;25;29;25;27;13;7
C23;Gallbladder;24;-;-;-;-;-;-;-;1;-;-;1;1;1;7;6;3;2;2
C24;Biliary tract, NOS;83;-;-;-;-;-;-;-;1;1;2;3;6;10;16;12;19;10;3
C25;Pancreas;354;-;-;-;-;-;-;2;5;4;11;25;31;44;44;63;66;43;16
C26;Other ill-defined digestive organs;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
C30;Nasal cavity and middle ear;13;-;-;-;-;-;-;-;-;-;-;3;1;1;3;3;1;-;1
C31;Accessory sinuses;35;-;-;-;-;-;1;1;-;1;-;4;5;6;5;4;5;3;-
C32;Larynx;319;-;-;-;-;-;-;-;-;8;14;25;54;47;57;51;29;29;5
C33;Trachea;4;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;1;-
C34;Bronchus and lung;3221;-;1;-;-;-;3;2;9;23;66;177;305;450;511;610;584;377;103
C37;Thymus;7;-;-;-;-;-;-;-;-;1;1;2;-;-;1;1;-;1;-
C38;Heart, mediastinum and pleura;9;1;-;-;-;1;-;-;-;-;-;2;1;-;1;2;-;1;-
C39;Respiratory system and intrathoracic organs, NOS;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C40;Bone and articular cartilage of limbs;21;1;-;2;4;3;2;-;1;1;2;3;-;1;-;-;-;1;-
C41;Bone and articular cartilage, NOS;19;-;1;-;2;1;1;1;-;2;3;1;1;1;-;2;2;1;-
C43;Malignant melanoma of skin;376;-;-;2;1;10;4;18;25;29;39;39;33;29;39;38;27;33;10
C44;Malignant neoplasms of skin;1189;-;-;-;-;-;-;2;6;9;19;28;43;95;135;201;224;249;178
C45;Mesothelioma;147;-;-;-;-;-;-;-;-;-;6;13;14;20;20;36;19;19;-
C46;Kaposi's sarcoma;10;-;-;-;-;-;1;1;1;1;3;1;-;-;-;2;-;-;-
C47,C49;Soft tissues;121;3;-;4;6;3;1;2;9;9;9;10;9;12;10;13;4;13;4
C48;Retroperitoneum and peritoneum;19;-;-;-;1;-;-;2;-;1;1;1;4;2;-;2;2;3;-
C50;Breast;39;-;-;-;-;-;-;-;-;1;3;1;6;4;1;7;7;4;5
C60;Penis;52;-;-;-;-;-;-;-;2;2;3;3;4;6;5;6;11;8;2
C61;Prostate;5932;-;-;-;-;-;-;-;2;12;68;264;589;862;1195;1230;918;545;247
C62;Testis;147;2;-;-;11;16;45;18;26;19;2;3;-;3;-;1;1;-;-
C63;Male genital organs, NOS;9;-;-;-;-;-;-;-;1;-;-;1;-;-;4;1;-;-;2
C64;Kidney;533;2;-;1;-;1;-;3;7;13;23;49;63;77;73;101;66;39;15
C65;Renal pelvis;62;-;-;-;-;-;-;-;-;-;1;2;6;6;9;13;14;6;5
C66;Ureter;57;-;-;-;-;-;-;-;-;-;2;1;2;4;7;16;18;3;4
C67;Bladder;1021;1;-;-;-;-;1;-;3;6;16;45;69;87;149;163;207;177;97
C68;Urinary organs, NOS;11;-;-;-;-;-;-;-;-;-;1;-;1;2;3;-;1;2;1
C69;Eye and adnexa;29;4;-;-;-;-;-;2;-;1;-;1;3;-;3;5;3;5;2
C70;Meninges;4;-;-;-;-;-;-;-;-;1;1;1;-;1;-;-;-;-;-
C71;Brain;253;6;4;1;2;7;2;13;11;18;14;15;34;20;31;29;33;12;1
C72;Spinal cord, cranial nerves and CNS, NOS;9;3;-;-;-;-;1;1;-;1;-;-;2;-;-;-;-;1;-
C73;Thyroid gland;81;-;-;-;1;1;2;7;3;7;12;6;13;5;5;13;4;1;1
C74;Adrenal gland;11;4;-;-;-;-;-;1;2;1;-;2;1;-;-;-;-;-;-
C75;Endocrine glands, NOS;8;-;-;-;1;1;1;2;-;1;-;-;-;1;-;-;-;1;-
C81;Hodgkin's disease;93;-;1;5;9;3;11;8;3;6;2;7;6;6;8;7;8;2;1
C82-C85;Non-Hodgkin-lymphoma;666;1;5;4;5;7;3;12;15;27;31;44;55;76;89;95;96;65;36
C88;Malignant immunoproliferative diseases;33;-;-;-;-;-;-;-;1;-;-;-;4;3;4;5;4;8;4
C90;Multiple myeloma;234;-;-;-;-;-;-;-;1;6;7;13;27;28;30;47;40;23;12
C91;Lymphoid leukaemia;238;8;4;9;3;2;1;2;3;5;6;12;29;29;30;36;31;21;7
C92;Myeloid leukaemia;152;-;1;1;3;1;2;7;8;3;2;9;5;14;20;22;24;23;7
C93;Monocytic leukaemia;10;-;-;1;-;-;1;-;-;1;1;-;2;-;1;1;2;-;-
C94-C95;Leukaemia other;13;-;-;-;-;-;-;-;1;1;-;-;1;1;2;2;1;2;2
C96;Lymphoid, haematopoietic and related tissue, NOS;7;3;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-
C76;Other and ill-defined sites;9;-;-;-;-;1;-;-;-;-;1;-;2;1;2;-;-;1;1
C80;Unknown primary site;341;-;-;-;-;-;2;1;1;10;9;23;31;32;41;63;64;39;25
MPD;Myeloproliferative Disorders;129;-;-;-;-;-;-;3;1;4;3;6;14;12;25;26;22;10;3
MDS;Myelodysplastic syndromes;201;-;2;-;-;-;-;1;2;1;7;3;12;17;21;37;41;45;12
Total;;20887;39;21;31;55;65;98;125;180;307;557;1163;1908;2555;3266;3728;3336;2363;1090
Total excl. non-melanoma;;19698;39;21;31;55;65;98;123;174;298;538;1135;1865;2460;3131;3527;3112;2114;912
Total excl. non-melanoma and MDS, MPD;;19368;39;19;31;55;65;98;119;171;293;528;1126;1839;2431;3085;3464;3049;2059;897
