icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;22;-;-;-;-;-;-;-;-;1;2;1;-;3;5;2;4;1;3
C01;Base of tongue;55;-;-;-;-;-;-;-;-;1;6;10;7;10;5;6;7;-;3
C02;Tongue;84;-;-;-;1;-;-;2;2;5;11;8;14;11;11;7;11;1;-
C03;Gum;16;-;-;-;-;-;-;-;-;1;2;2;1;1;1;3;3;1;1
C04;Floor of mouth;85;-;-;-;-;-;-;-;-;1;15;18;11;16;6;7;4;5;2
C05;Palate;32;-;-;-;-;-;-;-;-;-;4;6;5;8;4;4;-;-;1
C06;Mouth, NOS;29;-;-;-;-;-;1;-;-;-;3;6;4;5;2;3;3;-;2
C07;Parotid gland;29;-;-;-;-;-;1;1;1;-;1;2;5;2;1;4;3;4;4
C08;Salivary glands, NOS;7;-;-;-;-;-;-;-;-;-;-;1;3;-;1;-;2;-;-
C09;Tonsil;97;-;-;-;-;-;-;-;-;2;11;21;18;14;11;7;9;3;1
C10;Oropharynx;63;-;-;-;-;-;-;-;1;1;2;11;12;14;7;6;7;2;-
C11;Nasopharynx;24;-;-;-;-;2;-;1;3;-;2;1;2;5;2;3;1;2;-
C12;Pyriform sinus;41;-;-;-;-;-;-;-;-;-;4;8;8;17;2;2;-;-;-
C13;Hypopharynx;33;-;-;-;-;-;-;-;-;-;4;6;7;4;4;7;1;-;-
C14;Lip, oral cavity and pharynx, NOS;16;-;-;-;-;-;-;-;-;-;-;3;-;3;4;2;1;2;1
C15;Oesophagus;389;-;-;-;-;-;-;1;3;1;20;43;45;64;54;68;45;28;17
C16;Stomach;530;1;-;-;-;-;-;2;6;8;20;23;36;40;69;83;106;73;63
C17;Small intestine;68;-;-;-;-;-;-;-;1;3;-;7;7;6;14;11;10;6;3
C18;Colon;1880;-;1;-;-;1;3;6;7;20;46;78;130;189;257;348;385;262;147
C19;Rectosigmoid junction;103;-;-;-;-;-;-;1;-;-;2;3;13;17;13;18;17;8;11
C20;Rectum;939;-;-;-;1;1;-;1;4;14;37;76;78;120;140;145;157;99;66
C21;Anus and anal canal;36;-;-;-;-;-;-;-;-;1;1;5;4;8;4;4;5;3;1
C22;Liver and intrahepatic bile ducts;226;1;-;1;-;-;3;1;6;2;2;18;26;32;44;33;32;20;5
C23;Gallbladder;17;-;-;-;-;-;-;-;-;-;-;-;1;-;3;2;6;2;3
C24;Biliary tract, NOS;79;-;-;-;-;-;-;-;-;-;1;4;6;9;17;12;16;7;7
C25;Pancreas;354;-;-;-;-;-;1;-;3;4;14;18;39;61;45;65;52;37;15
C26;Other ill-defined digestive organs;6;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;1;2;-
C30;Nasal cavity and middle ear;19;-;-;-;-;-;-;-;-;1;1;1;1;2;3;3;2;2;3
C31;Accessory sinuses;45;-;-;-;-;1;-;-;-;-;-;3;7;14;3;9;7;1;-
C32;Larynx;316;-;-;-;-;-;-;-;-;1;14;35;48;65;37;46;39;22;9
C33;Trachea;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-
C34;Bronchus and lung;3239;1;-;1;-;1;2;6;3;19;81;199;310;436;506;607;610;330;127
C37;Thymus;6;-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;1;1;-
C38;Heart, mediastinum and pleura;9;-;-;-;-;-;-;-;-;-;-;2;-;1;1;3;1;1;-
C39;Respiratory system and intrathoracic organs, NOS;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C40;Bone and articular cartilage of limbs;16;-;-;3;1;1;3;-;1;-;-;2;-;-;1;1;3;-;-
C41;Bone and articular cartilage, NOS;23;-;-;1;3;1;3;-;1;2;-;3;3;-;-;3;3;-;-
C43;Malignant melanoma of skin;425;-;-;1;2;2;7;17;25;38;27;46;48;44;44;43;38;26;17
C44;Malignant neoplasms of skin;1348;-;-;1;-;1;4;2;3;14;13;25;50;90;114;237;283;275;236
C45;Mesothelioma;146;-;-;-;-;-;1;-;1;2;2;8;13;20;27;27;27;13;5
C46;Kaposi's sarcoma;15;-;-;-;-;-;-;1;-;3;2;1;-;1;2;-;2;1;2
C47,C49;Soft tissues;117;3;-;1;1;2;3;3;3;9;8;9;12;14;5;13;12;10;9
C48;Retroperitoneum and peritoneum;13;-;-;-;-;-;-;-;1;3;2;1;1;1;-;-;2;1;1
C50;Breast;49;-;-;-;-;-;-;2;-;-;2;3;3;8;5;12;7;6;1
C60;Penis;39;-;-;-;-;-;-;-;-;1;2;3;1;6;3;6;6;9;2
C61;Prostate;5796;-;-;-;-;-;-;-;2;9;75;302;605;814;1021;1207;980;508;273
C62;Testis;174;-;-;1;5;27;43;34;23;13;12;5;5;3;1;1;1;-;-
C63;Male genital organs, NOS;11;-;1;-;-;-;-;1;1;1;-;-;1;-;1;2;-;2;1
C64;Kidney;584;1;-;-;-;1;3;4;8;15;31;52;60;84;90;95;87;40;13
