icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;11;-;-;-;-;-;-;-;-;-;1;-;1;-;3;2;1;1;2
C01;Base of tongue;42;-;-;-;-;-;-;-;-;1;-;9;5;8;8;5;4;2;-
C02;Tongue;76;-;-;-;-;1;1;-;-;2;5;2;14;17;17;4;8;4;1
C03;Gum;28;-;-;-;-;-;-;-;-;-;-;3;6;9;2;3;2;1;2
C04;Floor of mouth;46;-;-;-;-;-;-;-;1;1;5;4;10;7;12;5;-;1;-
C05;Palate;36;-;-;-;-;-;1;-;-;2;-;5;8;8;5;4;1;1;1
C06;Mouth, NOS;26;-;-;-;-;-;-;-;-;1;2;2;5;7;4;-;3;2;-
C07;Parotid gland;23;-;-;-;-;-;2;-;-;1;3;2;2;-;6;3;-;4;-
C08;Salivary glands, NOS;3;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-
C09;Tonsil;81;-;-;-;-;-;-;-;-;-;4;17;22;18;10;3;3;3;1
C10;Oropharynx;61;-;-;-;-;-;-;-;-;3;2;6;11;16;12;6;4;1;-
C11;Nasopharynx;13;1;-;-;-;-;-;-;1;1;1;2;3;1;2;1;-;-;-
C12;Pyriform sinus;75;-;-;-;-;-;-;-;-;2;1;6;14;17;21;7;3;4;-
C13;Hypopharynx;27;-;-;-;-;-;-;-;-;-;1;6;3;3;3;7;2;2;-
C14;Lip, oral cavity and pharynx, NOS;10;-;-;-;-;-;-;-;-;-;-;1;2;2;3;2;-;-;-
C15;Oesophagus;256;-;-;-;-;-;-;-;-;-;8;22;41;44;52;24;24;23;18
C16;Stomach;268;-;-;-;-;-;1;-;2;4;11;17;33;35;38;30;34;34;29
C17;Small intestine;74;-;-;-;-;-;2;1;-;4;5;3;9;10;9;12;6;7;6
C18;Colon;924;-;-;2;1;-;-;1;6;8;18;29;82;120;144;155;129;132;97
C19;Rectosigmoid junction;37;-;-;-;-;-;-;-;-;1;1;-;9;6;9;3;1;4;3
C20;Rectum;468;-;-;1;-;1;2;3;6;6;12;18;48;64;93;63;60;53;38
C21;Anus and anal canal;21;-;-;-;-;-;1;1;-;-;-;2;2;6;4;1;2;2;-
C22;Liver and intrahepatic bile ducts;282;1;-;-;-;-;-;-;1;5;5;20;28;58;61;41;24;22;16
C23;Gallbladder;8;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;2;2;1
C24;Biliary tract, NOS;56;-;-;-;-;-;-;-;-;3;4;2;7;5;11;11;9;3;1
C25;Pancreas;285;-;-;-;-;-;-;1;2;2;7;27;24;39;45;42;48;27;21
C26;Other ill-defined digestive organs;25;-;-;-;-;-;-;-;-;-;-;1;2;4;5;4;3;3;3
C30;Nasal cavity and middle ear;9;-;-;-;-;-;-;-;-;-;-;-;1;2;2;1;1;1;1
C31;Accessory sinuses;16;-;-;-;-;1;-;1;-;-;-;1;1;7;2;1;-;1;1
C32;Larynx;169;-;-;-;-;-;-;-;3;4;5;9;27;27;43;20;10;8;13
C33;Trachea;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
C34;Bronchus and lung;1839;-;-;-;-;-;-;2;4;17;38;118;180;327;359;288;253;164;89
C37;Thymus;8;-;-;-;-;-;-;-;-;-;-;1;2;-;3;-;-;2;-
C38;Heart, mediastinum and pleura;4;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;1
C39;Respiratory system and intrathoracic organs, NOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C40;Bone and articular cartilage of limbs;17;-;-;5;1;1;-;2;3;2;-;-;1;1;1;-;-;-;-
C41;Bone and articular cartilage, NOS;10;-;-;-;-;-;1;1;-;1;1;1;-;2;1;-;2;-;-
C43;Malignant melanoma of skin;408;-;-;-;4;6;10;12;19;40;35;28;42;51;48;41;27;25;20
C44;Malignant neoplasms of skin;1174;1;-;-;-;2;3;-;5;4;13;32;47;65;130;145;204;246;277
C45;Mesothelioma;58;-;-;-;-;-;-;-;-;-;2;1;3;4;10;10;11;8;9
C46;Kaposi's sarcoma;16;-;-;-;-;-;-;1;1;1;-;1;2;1;3;3;1;-;2
C47,C49;Soft tissues;47;1;-;2;1;1;-;-;1;3;3;3;3;3;10;3;3;3;7
C48;Retroperitoneum and peritoneum;6;-;-;-;-;-;-;-;-;-;1;1;-;3;1;-;-;-;-
C50;Breast;29;-;-;-;-;-;-;-;-;1;1;-;6;3;5;4;2;3;4
C60;Penis;27;-;-;-;-;-;-;1;-;-;1;-;2;5;2;10;4;2;-
C61;Prostate;2584;-;-;-;-;-;-;-;-;4;17;96;214;384;647;440;351;290;141
C62;Testis;136;1;-;-;3;12;17;34;14;21;11;5;8;2;2;3;3;-;-
C63;Male genital organs, NOS;4;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;2
C64;Kidney;364;4;2;-;-;-;-;1;8;14;15;24;41;52;70;54;31;34;14
C65;Renal pelvis;31;-;-;-;-;-;-;-;-;-;2;1;2;-;7;4;9;5;1
