icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;21.0;-;-;-;-;-;-;-;-;1;-;-;1;-;4;2;3;4;6
C01;Base of tongue;25.0;-;-;-;-;-;-;-;-;1;1;2;8;2;5;4;1;1;-
C02;Tongue;85.0;-;-;-;-;-;-;3;-;5;3;10;10;20;10;9;4;4;7
C03;Gum;28.0;-;-;-;-;-;-;-;-;1;-;-;3;3;2;1;4;5;9
C04;Floor of mouth;64.0;-;-;-;-;-;-;-;-;2;3;10;13;8;9;9;1;4;5
C05;Palate;47.0;-;-;-;-;-;-;-;-;3;3;5;9;8;7;5;1;2;4
C06;Mouth, NOS;35.0;-;-;-;-;-;-;-;-;1;1;3;1;5;5;5;4;7;3
C07;Parotid gland;44.0;1;-;-;-;1;2;2;1;5;6;4;2;4;2;3;1;4;6
C08;Salivary glands, NOS;7.0;-;-;-;-;-;-;-;-;-;-;2;-;2;-;1;-;1;1
C09;Tonsil;73.0;-;-;-;-;-;-;-;1;1;3;15;12;20;7;5;5;2;2
C10;Oropharynx;54.0;-;-;-;-;-;-;1;2;1;6;5;14;11;3;7;4;-;-
C11;Nasopharynx;18.0;-;-;-;-;-;1;2;2;-;1;1;4;2;3;1;-;1;-
C12;Pyriform sinus;28.0;-;-;-;-;-;-;-;-;-;1;3;5;9;5;3;2;-;-
C13;Hypopharynx;17.0;-;-;-;-;-;-;-;-;1;-;3;2;2;4;3;1;1;-
C14;Lip, oral cavity and pharynx, NOS;9.0;-;-;-;-;-;-;-;-;-;1;1;2;3;1;1;-;-;-
C15;Oesophagus;268.0;-;-;-;-;-;-;-;2;1;5;13;42;31;39;28;20;39;48
C16;Stomach;526.0;-;-;-;-;-;2;3;6;8;17;31;30;41;54;51;71;112;100
C17;Small intestine;124.0;-;-;-;-;1;1;1;-;5;6;6;8;20;16;12;21;14;13
C18;Colon;2782.0;-;-;2;8;8;9;20;22;42;56;110;152;241;328;335;465;500;484
C19;Rectosigmoid junction;127.0;-;-;-;-;-;-;2;1;1;8;6;10;17;16;9;18;18;21
C20;Rectum;970.0;-;-;-;-;2;3;5;9;20;43;52;99;111;117;117;133;127;132
C21;Anus and anal canal;101.0;-;-;-;-;-;-;1;-;3;5;12;9;13;11;16;13;8;10
C22;Liver and intrahepatic bile ducts;248.0;2;1;-;-;3;1;3;4;1;12;13;25;29;28;28;34;31;33
C23;Gallbladder;53.0;-;-;-;-;-;1;-;-;2;1;2;5;1;4;6;10;15;6
C24;Biliary tract, NOS;130.0;-;-;-;-;-;-;1;1;-;1;2;11;10;17;21;23;23;20
C25;Pancreas;746.0;-;-;-;-;-;-;6;4;8;19;32;66;79;97;104;141;112;78
C26;Other ill-defined digestive organs;20.0;-;-;-;-;-;-;-;-;-;-;-;-;3;1;4;5;3;4
