icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;54;-;-;-;-;-;-;-;1;-;-;2;2;6;4;10;12;12;5
C01;Base of tongue;117;-;-;-;-;-;-;1;2;1;4;20;24;14;21;13;10;3;4
C02;Tongue;177;1;-;-;-;3;-;3;2;9;14;31;21;30;22;12;12;12;5
C03;Gum;29;-;-;-;-;-;-;-;-;-;1;2;3;4;3;1;11;3;1
C04;Floor of mouth;169;-;-;-;-;-;-;-;1;4;11;42;34;25;17;22;7;5;1
C05;Palate;58;-;-;-;-;-;-;1;-;-;6;12;15;13;5;5;-;1;-
C06;Mouth, NOS;55;-;-;-;-;-;-;-;-;1;7;7;6;7;12;5;5;2;3
C07;Parotid gland;51;-;-;-;-;1;1;1;4;3;3;3;5;3;3;11;5;4;4
C08;Salivary glands, NOS;22;-;-;-;-;1;-;-;1;-;3;4;2;3;3;-;1;3;1
C09;Tonsil;174;-;-;-;-;-;-;-;-;9;14;31;23;39;24;14;14;4;2
C10;Oropharynx;112;-;-;-;-;-;-;-;-;3;9;24;22;22;15;10;4;3;-
C11;Nasopharynx;45;-;-;-;-;2;1;2;1;3;7;6;2;7;5;6;1;-;2
C12;Pyriform sinus;143;-;-;-;-;-;-;-;1;6;10;25;36;25;17;14;4;5;-
C13;Hypopharynx;81;-;-;-;-;-;-;-;-;1;4;13;23;14;5;5;7;6;3
C14;Lip, oral cavity and pharynx, NOS;23;-;-;-;-;-;-;1;-;-;2;7;8;1;4;-;-;-;-
C15;Oesophagus;680;-;-;-;-;-;2;-;3;12;33;71;87;124;84;100;74;49;41
C16;Stomach;839;-;-;-;-;1;-;3;8;15;27;39;78;89;99;128;152;111;89
C17;Small intestine;105;-;-;-;-;-;-;2;-;-;7;16;9;16;11;11;16;11;6
C18;Colon;2930;-;-;2;5;6;4;10;21;33;50;121;221;339;418;488;543;397;272
C19;Rectosigmoid junction;155;-;-;-;-;-;-;-;2;3;3;9;13;19;17;29;25;17;18
C20;Rectum;1430;-;-;-;1;2;4;4;9;12;42;74;154;207;221;225;240;156;79
C21;Anus and anal canal;71;-;-;-;-;-;-;1;2;3;6;9;8;10;10;6;5;8;3
C22;Liver and intrahepatic bile ducts;410;1;-;1;-;-;3;1;5;3;15;35;50;73;60;66;49;37;11
C23;Gallbladder;21;-;-;-;-;-;-;-;-;1;1;2;1;3;1;-;5;7;-
C24;Biliary tract, NOS;151;-;-;-;-;-;-;-;-;4;2;6;13;21;27;24;22;21;11
C25;Pancreas;690;-;-;-;-;-;-;1;4;12;14;49;71;97;127;99;114;74;28
C26;Other ill-defined digestive organs;16;-;-;-;-;-;-;1;-;-;1;2;3;2;2;1;2;1;1
C30;Nasal cavity and middle ear;34;-;-;1;-;-;-;1;1;2;3;1;4;2;7;4;4;3;1
C31;Accessory sinuses;44;-;-;-;-;-;1;-;2;2;3;5;7;7;2;5;3;5;2
C32;Larynx;559;-;-;-;-;1;-;1;-;8;27;66;82;96;89;74;63;36;16
C33;Trachea;10;-;-;-;-;-;-;-;-;-;-;1;2;1;-;3;2;1;-
C34;Bronchus and lung;5495;-;-;-;3;1;2;8;11;50;140;348;597;769;817;983;955;561;250
C37;Thymus;20;-;-;-;-;-;-;-;-;1;2;1;6;2;2;4;-;-;2
C38;Heart, mediastinum and pleura;16;1;-;-;1;1;1;-;1;-;2;1;1;-;1;2;1;2;1
C39;Respiratory system and intrathoracic organs, NOS;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-
C40;Bone and articular cartilage of limbs;29;-;2;5;2;2;-;2;1;5;1;1;1;2;2;1;1;-;1
C41;Bone and articular cartilage, NOS;27;1;-;4;4;2;1;1;-;-;2;-;1;1;3;3;-;4;-
C43;Malignant melanoma of skin;727;-;1;1;1;13;21;18;40;42;58;66;73;73;77;95;70;48;30
C44;Malignant neoplasms of skin;2382;-;-;1;-;2;3;5;14;18;24;57;86;135;225;377;510;477;448
C45;Mesothelioma;192;-;-;-;-;-;-;1;2;-;-;8;18;17;38;39;39;21;9
C46;Kaposi's sarcoma;40;-;-;1;-;-;1;3;7;2;10;3;4;2;2;1;3;1;-
C47,C49;Soft tissues;181;6;2;1;4;2;4;4;8;9;16;12;16;19;11;22;21;10;14
C48;Retroperitoneum and peritoneum;14;2;-;-;-;-;-;-;-;-;-;1;1;3;2;1;4;-;-
C50;Breast;99;-;-;-;-;-;-;-;1;1;8;6;11;12;14;18;8;12;8
C60;Penis;78;-;-;-;-;-;-;1;2;4;3;13;10;10;5;9;7;6;8
C61;Prostate;8681;-;-;-;-;-;-;-;1;16;86;405;846;1413;1544;1764;1346;817;443
C62;Testis;314;1;-;1;15;36;58;70;34;41;32;12;4;3;-;3;-;3;1
C63;Male genital organs, NOS;8;-;-;-;-;-;-;-;-;2;1;-;-;2;-;-;1;1;1
C64;Kidney;954;7;2;-;1;2;3;9;12;37;38;98;87;141;135;147;134;67;34
C65;Renal pelvis;119;-;-;-;-;-;-;-;-;-;3;2;5;11;18;23;27;20;10
C66;Ureter;116;-;-;-;-;-;-;-;1;-;2;2;5;10;16;28;22;23;7
C67;Bladder;1716;-;-;-;-;-;-;-;5;9;31;67;106;171;202;304;306;312;203
C68;Urinary organs, NOS;24;-;-;-;-;-;-;-;-;-;-;-;1;3;3;5;6;2;4
C69;Eye and adnexa;54;12;-;-;-;1;-;-;1;2;1;4;5;6;6;8;4;3;1
C70;Meninges;4;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;2;-;-
C71;Brain;462;11;8;9;4;13;14;12;22;24;40;39;42;54;50;54;40;16;10
C72;Spinal cord, cranial nerves and CNS, NOS;13;1;2;-;-;-;2;1;1;1;1;-;1;-;1;-;-;-;2
C73;Thyroid gland;259;-;-;-;5;3;7;9;13;22;21;39;35;26;30;18;20;9;2
C74;Adrenal gland;24;10;1;-;-;1;1;-;1;-;2;1;1;1;2;1;2;-;-
C75;Endocrine glands, NOS;9;2;-;1;1;-;1;-;-;1;1;1;-;-;-;-;1;-;-
C81;Hodgkin's disease;177;-;4;6;16;17;17;16;11;17;12;10;10;9;10;8;8;3;3
C82-C85;Non-Hodgkin-lymphoma;1053;-;3;5;7;7;19;19;17;39;57;71;85;125;115;156;155;111;62
C88;Malignant immunoproliferative diseases;45;-;-;-;-;-;-;-;-;-;2;3;3;7;6;6;5;8;5
C90;Multiple myeloma;404;-;-;-;-;-;-;1;1;5;10;21;31;64;52;72;73;41;33
C91;Lymphoid leukaemia;464;20;16;6;9;3;2;3;8;8;21;30;41;66;58;64;52;40;17
C92;Myeloid leukaemia;361;3;2;1;4;6;4;4;10;19;20;15;38;37;42;49;48;43;16
C93;Monocytic leukaemia;13;-;-;-;-;-;1;-;-;3;1;-;1;-;2;2;2;1;-
C94-C95;Leukaemia other;11;1;-;-;-;-;-;-;-;-;-;1;-;1;1;-;6;1;-
C96;Lymphoid, haematopoietic and related tissue, NOS;7;1;-;-;1;-;-;-;2;1;-;1;-;-;-;-;1;-;-
C76;Other and ill-defined sites;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-
C80;Unknown primary site;543;-;-;-;1;1;-;1;2;8;17;40;65;53;65;81;94;63;52
MPD;Myeloproliferative Disorders;215;-;-;-;-;2;3;6;3;7;13;10;22;25;29;28;37;23;7
MDS;Myelodysplastic syndromes;328;-;-;2;2;-;1;-;2;4;7;8;18;19;31;67;74;57;36
Total;;35136;81;43;48;88;132;182;228;304;548;1014;2132;3307;4611;4953;5835;5497;3804;2329
Total excl. non-melanoma;;32754;81;43;47;88;130;179;223;290;530;990;2075;3221;4476;4728;5458;4987;3327;1881
Total excl. non-melanoma and MDS, MPD;;32211;81;43;45;86;128;175;217;285;519;970;2057;3181;4432;4668;5363;4876;3247;1838
