icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;18;-;-;-;-;-;-;-;-;1;-;-;1;-;4;1;2;4;5
C01;Base of tongue;15;-;-;-;-;-;-;-;-;-;-;2;4;1;4;3;-;1;-
C02;Tongue;39;-;-;-;-;-;-;2;-;2;2;3;7;7;3;6;3;1;3
C03;Gum;21;-;-;-;-;-;-;-;-;1;-;-;1;2;1;1;3;5;7
C04;Floor of mouth;36;-;-;-;-;-;-;-;-;1;1;5;7;8;5;2;1;3;3
C05;Palate;25;-;-;-;-;-;-;-;-;1;2;1;5;5;3;4;-;1;3
C06;Mouth, NOS;23;-;-;-;-;-;-;-;-;-;-;1;-;3;4;4;4;5;2
C07;Parotid gland;22;-;-;-;-;-;2;1;-;2;4;-;1;1;-;3;1;3;4
C08;Salivary glands, NOS;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-
C09;Tonsil;38;-;-;-;-;-;-;-;1;-;2;5;8;10;4;3;2;2;1
C10;Oropharynx;20;-;-;-;-;-;-;-;1;1;-;4;5;2;2;3;2;-;-
C11;Nasopharynx;7;-;-;-;-;-;-;1;1;-;-;-;1;2;2;-;-;-;-
C12;Pyriform sinus;15;-;-;-;-;-;-;-;-;-;1;2;2;6;2;1;1;-;-
C13;Hypopharynx;4;-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;-;-;-
C14;Lip, oral cavity and pharynx, NOS;5;-;-;-;-;-;-;-;-;-;1;-;1;2;1;-;-;-;-
C15;Oesophagus;143;-;-;-;-;-;-;-;1;1;2;5;21;14;21;11;14;28;25
C16;Stomach;330;-;-;-;-;-;1;1;2;7;14;13;17;25;32;34;51;66;67
C17;Small intestine;75;-;-;-;-;-;1;-;-;2;5;2;6;12;11;5;16;8;7
C18;Colon;1757;-;-;-;5;5;3;11;16;26;36;77;79;153;200;223;307;324;292
C19;Rectosigmoid junction;78;-;-;-;-;-;-;-;-;-;4;3;8;9;11;8;13;11;11
C20;Rectum;555;-;-;-;-;1;-;3;3;13;29;34;56;65;69;74;75;74;59
C21;Anus and anal canal;43;-;-;-;-;-;-;1;-;1;3;3;5;5;4;11;4;3;3
C22;Liver and intrahepatic bile ducts;126;1;-;-;-;1;-;2;2;1;4;5;13;13;15;14;21;13;21
C23;Gallbladder;33;-;-;-;-;-;-;-;-;2;-;-;3;1;4;3;7;9;4
C24;Biliary tract, NOS;84;-;-;-;-;-;-;1;1;-;-;1;9;7;9;11;17;14;14
C25;Pancreas;440;-;-;-;-;-;-;2;-;6;14;16;33;47;60;67;82;61;52
C26;Other ill-defined digestive organs;6;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;2
C30;Nasal cavity and middle ear;12;-;-;-;-;-;-;-;-;-;-;-;3;5;1;-;-;2;1
C31;Accessory sinuses;9;-;-;-;-;-;-;-;1;2;-;1;1;1;-;1;1;1;-
C32;Larynx;47;-;-;-;-;-;-;-;1;-;1;5;8;10;5;4;9;2;2
