icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;8;-;-;-;-;-;-;-;-;-;-;1;2;-;-;1;3;1;-
C01;Base of tongue;19;-;-;-;-;-;-;-;-;-;2;2;5;5;-;4;-;1;-
C02;Tongue;49;-;-;-;-;-;-;1;1;2;3;7;7;5;7;6;5;3;2
C03;Gum;21;-;-;-;-;-;-;-;-;-;1;1;2;3;2;2;4;1;5
C04;Floor of mouth;33;-;-;-;-;-;-;-;-;-;1;5;12;1;5;1;1;4;3
C05;Palate;16;-;-;-;-;-;-;-;-;-;1;2;1;2;4;-;3;-;3
C06;Mouth, NOS;20;-;-;-;-;-;-;-;-;-;-;2;1;3;7;1;4;-;2
C07;Parotid gland;31;-;-;-;-;1;-;2;1;-;3;5;2;2;1;5;1;5;3
C08;Salivary glands, NOS;11;-;-;-;-;-;-;-;-;-;1;-;1;3;1;1;2;1;1
C09;Tonsil;39;-;1;-;-;-;-;-;-;1;5;1;7;5;8;5;4;1;1
C10;Oropharynx;16;-;-;-;-;-;-;-;-;1;-;2;4;4;1;3;-;-;1
C11;Nasopharynx;6;-;-;-;-;-;-;1;-;-;-;1;-;1;-;1;1;-;1
C12;Pyriform sinus;11;-;-;-;-;-;-;-;-;-;-;2;1;2;1;3;2;-;-
C13;Hypopharynx;11;-;-;-;-;-;-;-;-;-;-;-;1;5;2;-;1;1;1
C14;Lip, oral cavity and pharynx, NOS;3;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-
C15;Oesophagus;143;-;-;-;-;-;1;-;-;-;4;5;9;15;24;17;28;20;20
C16;Stomach;352;-;-;-;-;-;2;2;2;7;15;24;21;30;44;42;59;49;55
C17;Small intestine;97;-;-;-;-;-;1;-;2;2;2;6;11;12;15;12;14;11;9
C18;Colon;2056;-;1;2;6;11;3;4;13;25;41;67;138;215;287;334;315;313;281
C19;Rectosigmoid junction;39;-;-;-;-;-;-;-;1;2;-;2;2;7;2;4;4;9;6
C20;Rectum;600;-;-;-;-;-;2;1;5;7;23;28;62;70;86;101;72;82;61
C21;Anus and anal canal;64;-;-;-;-;-;-;-;1;2;8;4;6;9;7;4;10;8;5
C22;Liver and intrahepatic bile ducts;152;2;-;-;-;1;-;1;1;2;6;8;7;19;23;22;28;18;14
C23;Gallbladder;49;-;-;-;-;-;-;-;-;-;1;3;5;2;7;1;5;11;14
C24;Biliary tract, NOS;78;-;-;-;-;-;-;-;-;-;1;3;5;7;11;13;15;16;7
C25;Pancreas;495;-;-;-;-;1;2;1;3;3;10;26;34;51;69;80;86;87;42
C26;Other ill-defined digestive organs;13;-;-;-;1;-;-;-;-;1;1;-;2;2;-;-;2;1;3
C30;Nasal cavity and middle ear;5;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;1;1
C31;Accessory sinuses;9;-;-;-;-;-;-;-;-;-;1;-;1;2;4;-;-;-;1
C32;Larynx;35;-;-;-;-;-;-;1;-;-;1;3;3;5;8;5;3;4;2
C33;Trachea;4;-;-;-;-;-;1;-;-;-;-;-;-;1;1;1;-;-;-
C34;Bronchus and lung;1418;-;-;-;-;-;-;3;4;25;38;96;182;246;244;183;166;145;86
C37;Thymus;6;-;-;-;-;-;-;-;-;1;-;-;1;-;3;-;-;1;-
C38;Heart, mediastinum and pleura;6;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;1;2
C39;Respiratory system and intrathoracic organs, NOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C40;Bone and articular cartilage of limbs;9;-;-;1;1;1;-;-;-;-;3;1;-;1;-;-;-;-;1
C41;Bone and articular cartilage, NOS;16;1;-;-;1;1;1;-;-;2;-;1;2;-;2;2;2;1;-
C43;Malignant melanoma of skin;1048;-;-;-;1;12;23;46;63;93;129;110;103;108;89;71;84;59;57
C44;Malignant neoplasms of skin;1802;-;1;-;2;1;2;4;6;7;38;59;87;103;155;167;276;373;521
C45;Mesothelioma;29;-;-;-;-;-;-;-;-;-;1;1;1;2;4;7;7;2;4
C46;Kaposi's sarcoma;4;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;1
C47,C49;Soft tissues;98;4;-;-;2;1;2;5;4;2;5;8;4;8;9;11;10;13;10
C48;Retroperitoneum and peritoneum;31;-;-;-;-;-;-;-;-;1;1;4;1;3;7;7;3;3;1
C50;Breast;6021;-;-;-;-;5;25;74;187;330;587;702;666;748;717;570;605;416;389
C51;Vulva;134;-;-;-;-;1;-;1;1;1;5;12;12;20;10;15;22;19;15
C52;Vagina;22;-;-;-;-;-;-;-;-;-;-;4;1;1;3;1;2;5;5
C53;Cervix uteri;332;-;-;-;-;3;8;11;38;39;44;28;31;35;21;15;23;18;18
C54;Corpus uteri;880;-;-;-;-;-;1;4;3;5;13;57;65;106;153;141;143;120;69
C55;Uterus;8;-;-;-;-;-;-;-;-;-;1;1;1;-;2;1;-;1;1
C56;Ovary;491;-;-;-;3;3;2;4;3;14;30;32;55;54;62;56;74;52;47
C57;Female genital organs, NOS;49;-;-;-;-;-;-;-;-;1;2;3;4;6;8;6;8;8;3
C58;Placenta;3;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-
C64;Kidney;398;4;1;-;-;-;1;4;4;8;11;24;34;42;60;50;55;61;39
C65;Renal pelvis;52;-;-;-;-;-;-;-;-;-;-;2;1;6;1;9;8;17;8
C66;Ureter;22;-;-;-;-;-;-;-;-;-;-;-;1;2;-;4;4;5;6
