icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1
C01;Base of tongue;24;-;-;-;-;-;-;-;1;-;1;3;2;1;6;5;4;1;-
C02;Tongue;44;-;-;-;-;-;-;-;-;2;-;5;6;6;8;5;5;4;3
C03;Gum;21;-;-;-;-;-;-;-;-;-;2;1;2;3;4;5;1;1;2
C04;Floor of mouth;30;-;-;-;-;-;-;-;-;-;-;3;5;6;5;4;3;3;1
C05;Palate;14;-;-;-;-;-;-;-;1;-;-;1;1;6;1;3;-;-;1
C06;Mouth, NOS;6;-;-;-;-;-;-;-;-;-;-;-;3;-;-;1;-;-;2
C07;Parotid gland;17;-;-;-;-;-;-;-;2;2;-;-;1;2;-;4;1;-;5
C08;Salivary glands, NOS;4;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;1
C09;Tonsil;36;-;-;-;-;-;-;-;-;-;3;6;7;5;9;3;2;-;1
C10;Oropharynx;27;-;-;-;-;-;-;-;-;-;1;3;4;7;5;5;1;-;1
C11;Nasopharynx;8;-;-;-;-;-;1;-;-;-;2;-;-;3;-;1;1;-;-
C12;Pyriform sinus;15;-;-;-;-;-;-;-;-;1;-;-;5;2;3;1;2;-;1
C13;Hypopharynx;11;-;-;-;-;-;-;-;-;-;-;1;1;3;3;1;2;-;-
C14;Lip, oral cavity and pharynx, NOS;4;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;-;-;-
C15;Oesophagus;96;-;-;-;-;-;-;-;-;1;5;2;8;13;18;17;12;10;10
C16;Stomach;164;-;-;-;-;1;-;3;3;6;6;9;13;17;13;27;22;23;21
C17;Small intestine;72;-;-;-;-;-;-;-;2;4;5;4;8;5;15;13;4;8;4
C18;Colon;804;-;-;-;1;1;4;3;6;10;26;37;54;88;100;114;118;115;127
C19;Rectosigmoid junction;19;-;-;-;-;-;-;-;-;-;1;2;2;2;-;3;1;4;4
C20;Rectum;316;-;-;-;-;-;-;-;5;4;12;21;28;38;58;58;39;22;31
C21;Anus and anal canal;70;-;-;-;-;-;-;1;2;2;2;9;8;13;5;8;8;5;7
C22;Liver and intrahepatic bile ducts;108;-;-;-;-;-;1;-;-;2;2;9;9;12;21;17;19;5;11
C23;Gallbladder;31;-;-;-;-;-;-;-;-;-;1;2;1;7;2;6;5;3;4
C24;Biliary tract, NOS;62;-;-;-;-;-;-;-;1;-;-;3;3;5;8;14;9;8;11
C25;Pancreas;348;-;-;-;-;1;1;1;2;6;7;14;25;40;46;69;52;33;51
C26;Other ill-defined digestive organs;5;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;2;-
C30;Nasal cavity and middle ear;16;-;-;1;1;-;-;1;-;1;2;-;-;1;2;2;2;1;2
C31;Accessory sinuses;15;-;-;-;-;-;-;-;1;1;-;1;2;3;3;2;1;-;1
C32;Larynx;50;-;-;-;-;-;-;-;-;-;2;5;6;13;9;4;7;1;3
C33;Trachea;2;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-
C34;Bronchus and lung;1312;-;-;-;-;-;-;4;6;15;42;81;138;213;237;274;160;88;54
C37;Thymus;19;-;-;-;-;-;-;-;2;1;3;1;2;4;1;2;2;1;-
C38;Heart, mediastinum and pleura;3;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-
C39;Respiratory system and intrathoracic organs, NOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C40;Bone and articular cartilage of limbs;10;-;-;-;1;-;1;-;-;1;1;2;-;1;-;2;-;-;1
C41;Bone and articular cartilage, NOS;12;-;-;2;-;1;-;-;1;-;-;3;3;2;-;-;-;-;-
C43;Melanoma of skin;576;-;-;-;-;7;16;27;34;44;57;59;45;53;37;63;45;39;50
C44;Malignant neoplasms of skin;896;-;-;-;-;1;1;-;1;4;12;22;44;51;73;125;131;130;301
C45;Mesothelioma;22;-;-;-;-;-;-;-;-;-;-;1;-;6;2;3;4;2;4
C46;Kaposi's sarcoma;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-
C47,C49;Soft tissues;49;-;-;1;-;2;1;3;-;1;4;4;2;4;4;7;9;5;2
C48;Retroperitoneum and peritoneum;28;1;-;-;-;-;1;-;-;1;2;2;3;3;4;4;3;3;1
C50;Breast;3503;-;-;-;-;4;13;54;85;158;302;339;362;428;459;446;338;237;278
C51;Vulva;87;-;-;-;-;-;-;-;2;3;4;7;6;10;10;10;14;9;12
C52;Vagina;12;-;-;-;-;-;-;-;1;-;1;-;2;-;1;4;1;2;-
C53;Cervix uteri;235;-;-;-;-;-;2;9;26;27;33;27;29;17;26;10;12;8;9
C54;Corpus uteri;437;-;-;-;-;1;1;1;6;6;7;16;39;50;68;87;63;51;41
C55;Uterus;5;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;1;1
C56;Ovary;243;-;-;-;1;1;1;6;5;7;7;18;21;30;32;44;36;18;16
C57;Female genital organs, NOS;40;-;-;-;-;-;-;-;1;-;-;2;7;5;11;7;5;1;1
C58;Placenta;7;-;-;-;-;-;2;-;1;1;2;1;-;-;-;-;-;-;-
C64;Kidney;197;1;-;-;-;-;2;4;2;3;9;7;21;18;22;37;34;19;18
C65;Renal pelvis;34;-;-;-;-;-;-;-;-;-;-;-;2;1;4;6;6;9;6
C66;Ureter;21;-;-;-;-;-;-;-;-;-;1;1;-;1;1;6;6;4;1
C67;Bladder;207;-;-;-;-;-;-;1;1;2;5;8;9;12;23;40;39;34;33
C68;Urinary organs, NOS;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
C69;Eye and adnexa;23;2;-;-;-;-;-;1;-;2;-;1;3;2;3;4;3;2;-
C70;Meninges;2;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-
C71;Brain;89;2;2;1;1;1;2;3;3;1;5;5;7;13;13;13;7;8;2
C72;Spinal cord, cranial nerves and CNS, NOS;2;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
C73;Thyroid gland;281;-;-;-;1;8;21;17;14;29;39;34;29;37;17;15;12;5;3
C74;Adrenal gland;12;2;-;-;-;-;1;-;1;1;1;-;2;-;1;-;2;-;1
C75;Endocrine glands, NOS;12;-;-;-;-;1;1;2;1;-;-;1;1;1;-;2;-;-;2
C81;Hodgkin lymphoma;54;-;1;2;6;4;7;8;6;3;3;2;5;3;-;1;1;-;2
C82-C86;Non-Hodgkin-lymphoma;266;-;-;-;1;6;-;2;2;5;9;11;16;24;29;39;46;45;31
