icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;16;-;-;-;-;-;-;-;-;-;1;-;-;4;1;2;1;2;5
C01;Base of tongue;9;-;-;-;-;-;-;-;-;-;-;1;1;1;2;2;1;-;1
C02;Tongue;37;-;-;-;-;1;-;-;3;1;-;4;4;4;7;1;6;4;2
C03;Gum;13;-;-;-;-;-;-;-;1;-;1;2;1;1;2;-;2;1;2
C04;Floor of mouth;15;-;-;-;-;-;-;-;-;1;-;5;1;1;2;-;1;2;2
C05;Palate;8;-;-;-;-;-;-;-;-;1;-;-;2;2;1;-;-;2;-
C06;Mouth, NOS;13;-;-;-;-;-;-;-;-;-;-;-;1;2;2;2;-;4;2
C07;Parotid gland;24;-;-;-;1;-;1;1;-;-;1;1;4;2;2;5;1;3;2
C08;Salivary glands, NOS;7;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;3;-;-
C09;Tonsil;21;-;-;-;-;-;-;-;1;1;2;5;4;-;4;2;1;-;1
C10;Oropharynx;4;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;1;-;-
C11;Nasopharynx;4;-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;-;-;-
C12;Pyriform sinus;5;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;-;1;-
C13;Hypopharynx;5;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;1;-
C14;Lip, oral cavity and pharynx, NOS;3;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-
C15;Oesophagus;118;-;-;-;-;-;-;-;1;2;7;8;14;16;9;14;16;15;16
C16;Stomach;301;-;-;-;1;-;-;1;4;1;7;10;17;15;23;41;58;64;59
C17;Small intestine;47;-;-;-;-;-;-;2;-;1;2;2;2;5;8;9;7;5;4
C18;Colon;1417;-;-;2;3;5;6;8;7;14;33;59;80;102;185;245;250;226;192
C19;Rectosigmoid junction;122;-;-;-;-;-;1;1;2;4;4;8;6;9;15;18;15;24;15
C20;Rectum;533;-;-;-;-;1;-;3;4;10;18;28;41;47;69;95;90;72;55
C21;Anus and anal canal;48;-;-;-;-;-;1;2;1;2;3;6;9;2;3;4;9;3;3
C22;Liver and intrahepatic bile ducts;75;-;-;-;-;-;-;-;2;1;2;5;5;5;9;19;13;8;6
C23;Gallbladder;42;-;-;-;-;-;-;-;-;-;-;-;2;5;6;7;9;10;3
C24;Biliary tract, NOS;59;-;-;-;-;-;-;-;-;2;-;3;4;6;9;11;12;7;5
C25;Pancreas;301;-;-;-;-;-;-;1;1;6;10;12;17;21;31;54;68;40;40
C26;Other ill-defined digestive organs;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-
C30;Nasal cavity and middle ear;7;1;-;-;-;-;-;-;-;-;1;1;1;-;2;-;-;1;-
C31;Accessory sinuses;15;-;-;-;-;-;-;-;-;-;3;1;4;1;3;1;1;1;-
C32;Larynx;51;-;-;-;-;-;-;-;-;2;3;2;7;8;5;7;8;7;2
C33;Trachea;4;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;2;-;-
C34;Bronchus and lung;680;-;-;-;-;-;-;1;5;20;53;72;95;85;87;97;103;42;20
C37;Thymus;4;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;1;-;-
C38;Heart, mediastinum and pleura;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-
C39;Respiratory system and intrathoracic organs, NOS;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-
C40;Bone and articular cartilage of limbs;21;-;1;1;2;-;1;2;-;2;1;1;3;1;-;3;2;1;-
C41;Bone and articular cartilage, NOS;27;1;1;2;1;-;-;-;2;2;2;4;1;2;3;3;1;2;-
C43;Malignant melanoma of skin;474;1;1;-;4;10;19;36;42;51;39;33;43;33;38;50;34;23;17
C44;Malignant neoplasms of skin;572;-;1;-;-;1;2;4;6;9;4;10;36;27;48;82;86;116;140
C45;Mesothelioma;14;-;-;-;-;-;-;-;1;-;1;2;1;3;1;2;3;-;-
C46;Kaposi's sarcoma;7;-;-;-;-;1;-;-;-;-;-;-;-;-;2;1;-;1;2
C47,C49;Soft tissues;97;3;-;2;2;7;3;1;6;7;6;5;9;9;9;6;11;7;4
C48;Retroperitoneum and peritoneum;20;-;-;-;-;-;-;2;1;-;1;-;-;4;4;2;4;-;2
C50;Breast;5597;-;-;-;-;3;23;80;202;347;592;747;784;656;661;519;453;310;220
C51;Vulva;87;-;-;-;-;-;2;-;4;7;1;3;5;6;9;9;13;13;15
C52;Vagina;22;-;-;-;-;-;-;-;-;1;1;1;1;3;2;5;5;1;2
C53;Cervix uteri;356;-;-;-;-;3;9;29;42;45;42;41;27;16;24;27;22;15;14
C54;Corpus uteri;791;-;-;-;-;-;2;4;5;11;33;43;92;112;131;127;129;67;35
C55;Uterus;51;-;-;-;-;-;1;-;1;4;5;2;9;3;3;7;7;1;8
C56;Ovary;597;-;1;-;3;1;5;4;8;18;38;52;70;70;74;90;79;63;21
C57;Female genital organs, NOS;14;-;-;-;-;-;-;-;-;1;-;1;4;3;2;-;1;-;2
C58;Placenta;4;-;-;-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-
C64;Kidney;330;3;-;-;-;-;1;1;6;7;19;27;15;32;46;67;55;31;20
C65;Renal pelvis;35;-;-;-;-;-;-;-;-;-;-;1;-;2;2;10;7;6;7
C66;Ureter;24;-;-;-;-;-;-;-;-;-;1;3;1;4;2;6;5;2;-
C67;Bladder;213;-;-;-;-;-;-;1;-;1;4;4;11;20;19;41;37;40;35
C68;Urinary organs, NOS;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1
C69;Eye and adnexa;27;2;-;-;-;-;-;-;-;-;-;3;2;3;2;5;3;4;3
C70;Meninges;17;-;-;-;-;-;1;-;-;-;2;3;2;2;2;2;2;-;1
C71;Brain;175;3;3;4;3;1;7;5;8;4;10;19;15;19;15;28;16;11;4
C72;Spinal cord, cranial nerves and CNS, NOS;3;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-
