icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;13;-;-;-;-;-;-;-;-;-;-;1;3;-;-;2;4;1;2
C01;Base of tongue;39;-;-;-;1;-;-;-;-;-;3;4;13;6;3;5;-;2;2
C02;Tongue;100;-;-;-;-;-;-;1;1;2;5;12;21;10;20;10;9;7;2
C03;Gum;40;-;-;-;-;-;-;-;-;1;1;1;5;9;7;4;4;1;7
C04;Floor of mouth;63;-;-;-;-;-;-;-;-;1;3;10;18;8;8;4;2;5;4
C05;Palate;38;-;-;-;-;-;-;-;1;-;1;4;4;7;11;3;4;-;3
C06;Mouth, NOS;33;-;-;-;-;-;-;-;1;-;-;4;2;5;7;1;7;2;4
C07;Parotid gland;47;-;-;-;-;1;1;2;2;2;4;6;3;3;4;6;3;7;3
C08;Salivary glands, NOS;16;-;-;-;-;-;-;-;-;1;1;-;1;6;1;1;2;2;1
C09;Tonsil;88;-;1;-;-;-;-;-;-;4;11;8;14;13;13;8;8;3;5
C10;Oropharynx;32;-;-;-;-;-;-;-;-;1;-;5;9;6;4;4;2;-;1
C11;Nasopharynx;15;-;-;-;1;1;-;1;1;1;1;1;1;2;1;1;1;-;2
C12;Pyriform sinus;25;-;-;-;-;-;-;-;1;-;1;3;3;7;2;6;2;-;-
C13;Hypopharynx;18;-;-;-;-;-;-;-;-;-;-;-;2;6;6;-;1;2;1
C14;Lip, oral cavity and pharynx, NOS;7;-;-;-;-;-;-;-;-;-;-;-;-;1;3;1;-;1;1
C15;Oesophagus;278;-;-;-;-;-;1;-;1;-;4;10;19;36;47;41;40;38;41
C16;Stomach;584;-;-;-;-;-;3;2;6;13;31;35;40;57;62;68;86;88;93
C17;Small intestine;160;-;-;-;-;1;1;1;2;4;6;11;15;21;25;22;20;16;15
C18;Colon;3091;-;2;5;10;12;5;11;22;36;64;108;200;306;420;456;479;480;475
C19;Rectosigmoid junction;82;-;-;-;-;-;-;-;1;3;3;6;5;17;8;7;7;14;11
C20;Rectum;946;-;-;-;-;-;3;7;9;13;34;56;94;106;128;144;122;128;102
