icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;14;-;-;-;-;-;-;-;-;-;-;1;2;-;4;1;-;2;4
C01;Base of tongue;7;-;-;-;-;-;-;-;-;-;-;2;1;1;1;1;-;1;-
C02;Tongue;42;-;-;-;-;-;-;-;1;2;4;5;11;4;4;6;2;-;3
C03;Gum;9;-;-;-;-;-;-;-;-;-;1;1;-;1;4;1;-;1;-
C04;Floor of mouth;30;-;-;-;-;-;-;-;-;1;4;3;2;8;3;3;4;1;1
C05;Palate;17;-;-;-;-;1;-;-;1;-;-;3;-;5;1;2;2;1;1
C06;Mouth, NOS;29;-;-;-;-;-;-;-;-;-;1;4;4;2;1;3;7;2;5
C07;Parotid gland;24;-;-;-;-;-;1;1;1;2;1;-;3;1;1;7;2;2;2
C08;Salivary glands, NOS;20;-;-;-;-;1;-;2;-;1;1;2;2;5;-;2;3;-;1
C09;Tonsil;22;-;-;-;-;-;-;-;-;-;3;4;1;4;2;4;1;3;-
C10;Oropharynx;2;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-
C11;Nasopharynx;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-
C12;Pyriform sinus;7;-;-;-;-;-;-;-;-;-;1;2;2;1;-;-;1;-;-
C13;Hypopharynx;5;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;2;-
C14;Lip, oral cavity and pharynx, NOS;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C15;Oesophagus;129;-;-;-;-;-;-;-;-;2;4;7;12;17;15;21;17;22;12
C16;Stomach;337;-;-;-;-;-;1;-;2;2;10;16;17;21;33;47;66;55;67
C17;Small intestine;48;-;-;-;-;-;1;-;1;1;3;5;3;3;3;7;9;10;2
C18;Colon;1394;-;-;1;3;1;3;8;4;24;39;45;80;105;169;242;243;238;189
C19;Rectosigmoid junction;106;-;-;-;-;-;-;1;-;1;6;6;9;8;15;14;15;17;14
C20;Rectum;504;-;-;-;-;-;1;2;3;11;20;35;48;46;67;73;79;66;53
C21;Anus and anal canal;37;-;-;-;-;-;-;-;3;3;1;3;6;1;4;3;3;3;7
C22;Liver and intrahepatic bile ducts;91;-;-;-;-;1;1;1;-;2;2;3;11;9;13;14;15;11;8
C23;Gallbladder;46;-;-;-;-;-;-;-;-;1;-;2;2;1;8;9;8;9;6
C24;Biliary tract, NOS;62;-;-;-;-;-;-;-;1;-;2;3;2;5;9;12;14;8;6
C25;Pancreas;312;-;-;-;1;-;-;3;-;6;11;15;25;28;46;58;58;38;23
C26;Other ill-defined digestive organs;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1
C30;Nasal cavity and middle ear;14;-;-;-;-;1;-;-;2;-;-;-;-;4;1;3;3;-;-
C31;Accessory sinuses;13;-;-;-;-;-;-;1;-;1;-;1;2;2;1;-;-;3;2
C32;Larynx;33;-;-;-;-;-;-;-;3;1;-;6;7;2;1;5;5;3;-
C33;Trachea;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1
C34;Bronchus and lung;860;-;-;-;-;1;1;2;7;22;55;98;98;97;121;121;130;81;26
C37;Thymus;5;-;-;-;-;-;-;-;-;-;-;1;2;1;1;-;-;-;-
C38;Heart, mediastinum and pleura;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;1
C39;Respiratory system and intrathoracic organs, NOS;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C40;Bone and articular cartilage of limbs;30;-;-;8;1;1;2;2;2;4;4;-;3;1;1;-;1;-;-
C41;Bone and articular cartilage, NOS;21;-;2;2;-;1;-;-;-;1;-;2;-;-;3;5;4;1;-
C43;Malignant melanoma of skin;557;2;-;1;2;17;19;33;54;47;55;47;39;47;48;50;40;37;19
C44;Malignant neoplasms of skin;714;-;-;2;-;2;1;2;3;6;16;16;24;40;76;95;115;149;167
C45;Mesothelioma;34;-;-;-;2;-;-;-;-;-;1;1;4;3;6;11;4;2;-
C46;Kaposi's sarcoma;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-
C47,C49;Soft tissues;115;4;1;1;3;3;5;4;10;9;14;9;10;7;7;6;12;8;2
C48;Retroperitoneum and peritoneum;25;-;-;-;1;-;2;-;-;2;2;2;2;3;1;3;4;1;2
C50;Breast;5500;-;-;-;-;3;26;80;166;385;627;699;666;584;625;527;505;392;215
C51;Vulva;102;-;-;-;-;-;-;2;1;4;5;4;11;6;11;14;14;17;13
C52;Vagina;27;-;-;-;-;-;-;-;-;1;3;1;-;4;3;4;5;1;5
C53;Cervix uteri;404;-;-;-;-;4;8;34;45;61;53;40;45;24;28;24;13;13;12
C54;Corpus uteri;830;-;-;-;-;-;1;2;2;14;20;58;95;110;156;122;132;90;28
C55;Uterus;29;-;-;-;-;-;-;-;1;3;2;1;3;2;4;5;5;3;-
C56;Ovary;561;-;-;2;2;3;4;8;16;20;44;55;59;35;69;69;86;51;38
C57;Female genital organs, NOS;19;-;-;-;-;-;-;-;-;1;1;2;2;1;2;1;6;2;1
C58;Placenta;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-
C64;Kidney;333;2;2;-;-;-;-;-;8;5;17;22;32;34;48;56;49;44;14
C65;Renal pelvis;44;-;-;-;-;-;-;-;-;1;-;1;1;4;8;8;12;7;2
C66;Ureter;12;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;4;4;-
C67;Bladder;271;-;-;-;-;-;-;1;-;-;5;13;7;19;36;51;42;58;39
C68;Urinary organs, NOS;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1
C69;Eye and adnexa;21;2;-;-;-;-;-;1;-;1;2;2;2;1;2;4;3;-;1
C70;Meninges;8;-;-;-;-;-;-;-;1;1;1;1;1;-;1;2;-;-;-
C71;Brain;163;2;2;2;4;-;6;7;6;11;11;10;15;18;22;22;13;11;1
C72;Spinal cord, cranial nerves and CNS, NOS;8;3;-;1;1;-;-;1;-;-;-;-;1;-;-;-;1;-;-
C73;Thyroid gland;231;-;-;-;2;7;14;9;22;30;27;24;18;13;13;21;9;16;6
C74;Adrenal gland;8;3;1;-;-;-;1;-;-;1;-;1;-;-;-;1;-;-;-
C75;Endocrine glands, NOS;3;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-
C81;Hodgkin's disease;78;-;-;2;11;13;9;4;6;3;6;5;3;3;3;2;5;3;-
C82-C85;Non-Hodgkin-lymphoma;478;1;-;-;3;5;2;10;6;15;18;29;35;46;63;78;81;56;30
C88;Malignant immunoproliferative diseases;19;-;-;-;-;-;-;-;-;2;-;1;1;3;1;3;1;2;5
C90;Multiple myeloma;197;-;-;-;-;-;-;-;2;-;4;11;25;14;30;33;35;25;18
C91;Lymphoid leukaemia;180;7;2;6;4;-;2;2;3;2;13;5;9;15;26;31;25;17;11
C92;Myeloid leukaemia;156;1;1;-;2;1;3;5;10;8;14;8;10;11;16;18;20;13;15
C93;Monocytic leukaemia;8;1;-;-;-;1;-;-;1;-;-;-;1;1;-;-;2;1;-
C94-C95;Leukaemia other;10;1;-;-;-;-;-;1;1;-;-;-;1;2;1;-;1;1;1
C96;Lymphoid, haematopoietic and related tissue, NOS;5;1;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;1;-
C76;Other and ill-defined sites;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
C80;Unknown primary site;269;1;-;-;-;-;1;1;1;2;7;16;13;23;32;43;44;50;35
MPD;Myeloproliferative Disorders;118;-;-;-;1;1;1;-;5;5;9;7;10;11;5;22;18;18;5
MDS;Myelodysplastic syndromes;135;-;-;-;-;-;-;3;2;4;2;2;4;8;12;28;29;23;18
Total;;15965;32;11;28;43;70;117;234;405;732;1153;1370;1508;1478;1889;2025;2030;1699;1141
Total excl. non-melanoma;;15251;32;11;26;43;68;116;232;402;726;1137;1354;1484;1438;1813;1930;1915;1550;974
Total excl. non-melanoma and MDS, MPD;;14998;32;11;26;42;67;115;229;395;717;1126;1345;1470;1419;1796;1880;1868;1509;951
